"year","month","day","latitude","longitude","species","speciesKey","kingdom","elevation","stateProvince","countryCode"
1921,4,11,27.92201,-110.913001,"Centris pallida",1342915,"Animalia",NA,"Sonora","MX"
1928,6,10,36.36972,-121.5892,"Centris pallida",1342915,"Animalia",2300,"California","US"
1932,4,28,33.03,-115.62,"Centris pallida",1342915,"Animalia",NA,"California","US"
1932,5,8,34.57943,-118.11646,"Centris pallida",1342915,"Animalia",NA,"California","US"
1932,5,8,33.9265,-116.5019,"Centris pallida",1342915,"Animalia",NA,"California","US"
1933,6,25,34.09611,-118.105,"Centris pallida",1342915,"Animalia",NA,"California","US"
1934,4,8,33.6197,-115.9153,"Centris pallida",1342915,"Animalia",NA,"California","US"
1937,5,16,33.96861,-112.7289,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1938,5,17,33.42861,-111.4175,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1939,4,30,32.72,-114.62,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1939,5,7,33.95333,-117.3953,"Centris pallida",1342915,"Animalia",NA,"California","US"
1940,5,23,34.9068,-116.8203,"Centris pallida",1342915,"Animalia",NA,"California","US"
1944,5,20,32.22167,-110.9258,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1947,2,9,33.9925,-117.4939,"Centris pallida",1342915,"Animalia",NA,"California","US"
1947,4,13,33.066667,-112.1,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1947,4,19,33.59861,-112.0297,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1947,4,23,32.37167,-112.86,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1947,5,11,33.6675,-111.1336,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1950,5,27,32.7383,-116.0629,"Centris pallida",1342915,"Animalia",NA,"California","US"
1952,4,19,32.8777,-111.7567,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
1952,4,19,32.7161,-111.4947,"Centris pallida",1342915,"Animalia",NA,"Arizona","US"
