year,month,day,speciesKey,genus,species,latitude,longitude,countryCode
1973,2,3,5359945,Parkinsonia,microphylla,27.1,-113.583,MX
1973,2,7,7568403,Larrea,tridentata,27.6,-114.52,MX
1973,2,3,7568403,Larrea,tridentata,27.15,-113.67,MX
1973,3,13,7568403,Larrea,tridentata,29.179489,-102.998374,US
1973,3,29,7568403,Larrea,tridentata,34.065392,-112.142046,US
2022,4,29,7568403,Larrea,tridentata,31.96307,-106.449325,US
2020,2,23,7568403,Larrea,tridentata,32.799422,-105.96692,US
2021,3,19,7568403,Larrea,tridentata,32.949745,-105.9486,US
2019,2,12,7568403,Larrea,tridentata,31.934483,-108.982308,US
2022,12,8,7568403,Larrea,tridentata,31.965753,-108.439313,US
2020,2,15,7568403,Larrea,tridentata,32.450528,-104.28443,US
2022,3,24,7568403,Larrea,tridentata,33.479176,-111.619471,US
2020,3,4,7568403,Larrea,tridentata,32.951333,-105.946137,US
2017,11,25,7568403,Larrea,tridentata,34.727914,-114.373178,US
2018,1,4,7568403,Larrea,tridentata,32.51453,-106.378578,US
2022,4,29,7568403,Larrea,tridentata,31.962178,-106.445712,US
2016,3,24,7568403,Larrea,tridentata,33.907876,-116.566871,US
2019,12,23,7568403,Larrea,tridentata,33.420018,-112.081428,US
2021,1,19,7568403,Larrea,tridentata,32.324917,-106.720108,US
2018,10,24,7568403,Larrea,tridentata,32.334145,-111.025375,US
2017,6,24,7568403,Larrea,tridentata,33.349284,-112.075177,US
2019,5,28,7568403,Larrea,tridentata,33.925095,-115.92891,US
2021,1,2,7568403,Larrea,tridentata,32.519183,-105.97812,US
2018,10,4,7568403,Larrea,tridentata,31.83008,-106.563553,US
2018,11,20,7568403,Larrea,tridentata,32.505203,-105.91388,US
2019,6,23,7568403,Larrea,tridentata,35.93437,-114.830322,US
2022,4,29,5357217,Parkinsonia,aculeata,24.821688,-107.386908,MX
2019,6,16,7568403,Larrea,tridentata,33.91192,-106.82263,US
2021,12,31,5359945,Parkinsonia,microphylla,33.742092,-112.096789,US
2020,1,12,7568403,Larrea,tridentata,33.892913,-116.65979,US
2017,9,15,7568403,Larrea,tridentata,32.021672,-111.347717,US
2018,11,4,7568403,Larrea,tridentata,32.348847,-106.612587,US
2018,1,27,7568403,Larrea,tridentata,32.244897,-111.040542,US
2018,2,16,7568403,Larrea,tridentata,32.288545,-111.218138,US
2017,3,29,7568403,Larrea,tridentata,34.931874,-116.716682,US
2017,11,9,7568403,Larrea,tridentata,33.189614,-116.389312,US
2018,12,22,7568403,Larrea,tridentata,33.952172,-115.982628,US
2018,11,9,7568403,Larrea,tridentata,31.993542,-110.60942,US
2020,3,17,7568403,Larrea,tridentata,33.90351,-116.434617,US
2018,9,15,5357217,Parkinsonia,aculeata,33.97677,-117.402138,US
2018,11,2,7568403,Larrea,tridentata,32.486288,-106.045447,US
2021,4,16,7568403,Larrea,tridentata,32.95483,-105.930083,US
2020,8,20,5357217,Parkinsonia,aculeata,29.464414,-98.481091,US
2021,3,18,5359949,Parkinsonia,florida,33.855347,-116.559067,US
2022,5,11,7568403,Larrea,tridentata,32.34031,-113.744062,US
