year,month,day,speciesKey,genus,species,latitude,longitude,countryCode
1973,2,3,5359945,Parkinsonia,microphylla,27.1,-113.583,MX
2021,12,31,5359945,Parkinsonia,microphylla,33.742092,-112.096789,US
2021,3,18,5359949,Parkinsonia,florida,33.855347,-116.559067,US
2017,9,9,5359945,Parkinsonia,microphylla,32.857792,-110.6707,US
2017,5,1,5359949,Parkinsonia,florida,32.599022,-111.260712,US
2018,3,11,5359945,Parkinsonia,microphylla,32.38393,-111.513353,US
2023,2,21,5359945,Parkinsonia,microphylla,25.790159,-111.31118,MX
2018,2,16,5359945,Parkinsonia,microphylla,32.29913,-111.218138,US
2020,4,30,1342915,Centris,pallida,33.823323,-116.325857,US
2019,3,28,5359949,Parkinsonia,florida,33.258095,-116.406547,US
2020,3,11,5359945,Parkinsonia,microphylla,33.807742,-112.841046,US
2020,11,29,5359949,Parkinsonia,florida,24.108011,-109.99752,MX
2018,4,1,5359949,Parkinsonia,florida,33.1265,-112.582656,US
2018,2,12,5359945,Parkinsonia,microphylla,32.285172,-111.119155,US
2018,3,11,5359945,Parkinsonia,microphylla,32.480717,-111.528183,US
2019,1,8,5359949,Parkinsonia,florida,32.306891,-110.901266,US
2017,4,28,5359949,Parkinsonia,florida,31.945538,-112.802612,US
2013,12,31,5359945,Parkinsonia,microphylla,34.441985,-114.266221,US
2018,2,11,5359945,Parkinsonia,microphylla,32.221072,-111.11473,US
2018,2,20,5359945,Parkinsonia,microphylla,28.299391,-112.876327,MX
2020,11,27,5359949,Parkinsonia,florida,33.631262,-115.991975,US
2019,3,17,5359949,Parkinsonia,florida,33.703272,-115.801474,US
2018,2,10,5359945,Parkinsonia,microphylla,32.255028,-111.20018,US
2021,5,16,5359945,Parkinsonia,microphylla,33.559136,-112.561928,US
2023,2,16,5359945,Parkinsonia,microphylla,33.835105,-112.000647,US
2018,2,10,5359945,Parkinsonia,microphylla,32.251697,-111.188225,US
2019,2,10,5359945,Parkinsonia,microphylla,29.146221,-110.952966,MX
2017,5,2,5359945,Parkinsonia,microphylla,32.60773,-111.236847,US
2018,9,22,5359945,Parkinsonia,microphylla,32.180279,-110.736704,US
2018,4,2,5359949,Parkinsonia,florida,32.374023,-112.861622,US
2022,10,6,5359945,Parkinsonia,microphylla,33.644736,-111.115562,US
1970,11,5,5359949,Parkinsonia,florida,33.569111,-116.107592,US
2020,4,25,5359949,Parkinsonia,florida,33.710756,-116.398794,US
2018,3,20,5359949,Parkinsonia,florida,33.604553,-115.921897,US
2019,9,26,5359949,Parkinsonia,florida,33.568112,-111.996537,US
