"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.838297737556561,0.967,0.0980596330234553,0.1129460480414,0.749332677726124,0.0898353793217474,0.52,0.160706772311146,0.198136123136123,0.188100135829172,0.00892857142857143,0.0178571428571429,4244.40385144651,115.969120830055,6.56815900438609e-26,14
"2","LQ","1","fc.LQ_rm.1",0.860446153846154,0.978,0.122867170965474,0.0985566698383011,0.76270913489369,0.102997178172129,0.5895,0.33728079300982,0.184499759499759,0.154808617733505,0.0357142857142857,0.0714285714285714,4160.53897389397,32.1042432775203,1.06775209220303e-07,22
"3","Q","1","fc.Q_rm.1",0.836926244343891,0.947,0.135943495914616,0.12004771986793,0.706936840879663,0.0950069871724484,0.598,0.242513229879664,0.237746512746513,0.282972301918703,0.0267857142857143,0.0535714285714286,4277.47579603116,149.041065414713,4.32476126249332e-33,13
"4","LQH","1","fc.LQH_rm.1",0.888868778280543,0.983,0.113591174535667,0.102669427649698,0.783544939627129,0.0822181157420437,0.75975,0.144921530491504,0.325165343915344,0.346693405572295,0.0857954545454545,0.0933306031945748,4171.96607970786,43.5313490914132,3.52456830544255e-10,62
"5","H","1","fc.H_rm.1",0.886376018099547,0.969,0.101836345814531,0.0978457163078423,0.792879804044167,0.0776424346912874,0.7,0.231394324332585,0.25714886964887,0.220322417008729,0.12150974025974,0.103651760497932,4143.99315788656,15.5584272701135,0.000418166007535642,52
"6","L","2","fc.L_rm.2",0.822668778280543,0.989,0.121337646875318,0.107830866682136,0.726573962461003,0.0990973810038958,0.66025,0.153656272244253,0.157632876382876,0.141224592960797,0,0,4286.00458744573,157.569856829277,6.08077051957982e-35,12
"7","LQ","2","fc.LQ_rm.2",0.8477592760181,0.984,0.135241862521568,0.103490128551397,0.7413619386991,0.10657133795948,0.504,0.183512034119473,0.157470538720539,0.134512050172267,0.0178571428571429,0.0357142857142857,4211.99033874212,83.5556081256718,7.17709196374346e-19,16
"8","Q","2","fc.Q_rm.2",0.828879185520362,0.967,0.156661350751476,0.110051729393819,0.690081066899367,0.102872511905894,0.53675,0.335154069048848,0.193265993265993,0.186641240128033,0,0,4296.82602692339,168.391296306941,2.71714545809395e-37,11
"9","LQH","2","fc.LQH_rm.2",0.869683257918552,0.948,0.111990333388957,0.10843033614606,0.780935915725745,0.108481443703773,0.77225,0.15168690341182,0.26639911014911,0.273899539821174,0.0133928571428571,0.017096912638506,4163.42873104574,34.9940004292866,2.51748933007232e-08,34
"10","H","2","fc.H_rm.2",0.871060633484163,0.954,0.0957611111717176,0.111391567353601,0.806851067085568,0.114487398137506,0.69775,0.262357739228964,0.225324675324675,0.206693693972814,0.0178571428571429,0.0252538136138053,4128.43473061645,0,0.999581665515886,22
"11","L","3","fc.L_rm.3",0.820465158371041,0.986,0.176163029480487,0.125618193670362,0.67772445025122,0.142817052907461,0.44275,0.473671739358247,0.144240019240019,0.126836603940615,0,0,4291.42177695661,162.987046340161,4.05164007402332e-36,11
"12","LQ","3","fc.LQ_rm.3",0.842684162895928,0.974,0.153961778590687,0.100055439961789,0.724805609789782,0.115349568522848,0.48325,0.115312257226483,0.153006253006253,0.128194831103103,0.0178571428571429,0.0357142857142857,4233.63892905479,105.204198438338,1.42894941248929e-23,14
"13","Q","3","fc.Q_rm.3",0.82083665158371,0.973,0.196866475049464,0.119974620362919,0.6513681715935,0.13760074302642,0.483,0.350632761352007,0.15738936988937,0.138177366264633,0,0,4313.16412796341,184.729397346957,7.69731615857346e-41,10
"14","LQH","3","fc.LQH_rm.3",0.8621407239819,0.932,0.128169562657018,0.099235832581713,0.767252037589138,0.116171495573498,0.7555,0.170923959701383,0.243753006253006,0.250855297637748,0.0133928571428571,0.017096912638506,4175.33841535432,46.9036847378729,6.52848710049115e-11,26
"15","H","3","fc.H_rm.3",0.863198190045249,0.966,0.0962597745415764,0.119557554607781,0.803746890600916,0.12327333749273,0.7235,0.199122240512371,0.193831168831169,0.192638382203179,0.0133928571428571,0.017096912638506,4162.70735586262,34.2726252461734,3.61087346035509e-08,19
