"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.822740497737557,0.958,0.160353144739365,0.116987239345122,0.695034073238243,0.114502181606962,0.3065,0.2518604110746,0.19788961038961,0.212458016250865,0,0,4272.38092824881,137.019810358799,1.76409609249038e-30,15
"2","LQ","1","fc.LQ_rm.1",0.856846380090498,0.98,0.136853031684036,0.120756263213059,0.756366279861001,0.132283530963613,0.59475,0.46219936174772,0.32775974025974,0.412760673703436,0.0402597402597403,0.0689331923787465,4171.16567334298,35.8045554529717,1.67932820815721e-08,20
"3","Q","1","fc.Q_rm.1",0.833483031674208,0.992,0.173673176769888,0.170764559180505,0.673689973242938,0.144102207714927,0.4905,0.150847605217982,0.175081168831169,0.229093414543681,0.0179383116883117,0.0252543353814237,4260.29434046614,124.933222576127,7.43175574492827e-28,15
"4","LQH","1","fc.LQH_rm.1",0.902391628959276,0.992,0.130408401056931,0.107481200725608,0.775658929616035,0.0886264570488604,0.63575,0.341510736776069,0.342045454545455,0.345776273791885,0.0722402597402597,0.0826116356954621,4135.36111789001,0,0.999990819922136,62
"5","H","1","fc.H_rm.1",0.902428280542986,0.987,0.111807843698757,0.117154275137048,0.794961212023878,0.098112840394709,0.699,0.0987522151650281,0.257386363636364,0.290426917461777,0.045211038961039,0.0602552705602737,4172.23521658284,36.8740986928296,9.8375560411317e-09,70
"6","L","2","fc.L_rm.2",0.82258665158371,0.971,0.128988176693896,0.113149542509557,0.725973416657751,0.109692477409189,0.42075,0.113405981617667,0.171103896103896,0.197949728783986,0,0,4268.35894419307,132.997826303064,1.31790764978255e-29,10
"7","LQ","2","fc.LQ_rm.2",0.848208823529412,0.981,0.144922520740498,0.126997505872135,0.748136963791039,0.139816014388326,0.5455,0.39394542769272,0.309902597402597,0.381559725302035,0.0446428571428571,0.0892857142857143,4200.99767086419,65.636552974177,5.58726961962255e-15,18
"8","Q","2","fc.Q_rm.2",0.82625814479638,0.981,0.161922521954418,0.164587762201103,0.680192895686094,0.137725736500806,0.54725,0.0883605304043233,0.143915343915344,0.168372059320222,0.00446428571428571,0.00892857142857143,4276.20791464827,140.846796758261,2.60317101634673e-31,12
"9","LQH","2","fc.LQH_rm.2",0.877384389140272,0.98,0.107704632594327,0.0986360203530805,0.796629110790537,0.106165214888753,0.67375,0.321296721634898,0.314935064935065,0.326165411814918,0.0270292207792208,0.0312131888097883,4159.44814627928,24.0870283892718,5.88253142198106e-06,36
"10","H","2","fc.H_rm.2",0.879468552036199,0.986,0.0961777749581613,0.113394615936845,0.803553390739502,0.109792520405199,0.78425,0.117139162252994,0.212012987012987,0.228195251990188,0.0179383116883117,0.0252543353814237,4160.62468585633,25.263567966319,3.26649451027934e-06,36
"11","L","3","fc.L_rm.3",0.822363574660633,0.966,0.122646452290528,0.10622562923344,0.738098754457441,0.110256308913761,0.452,0.16394104631442,0.143915343915344,0.168372059320222,0,0,4269.03785132298,133.676733432972,9.38560275387242e-30,9
"12","LQ","3","fc.LQ_rm.3",0.83962149321267,0.99,0.138014345171493,0.128380911159886,0.747431941714211,0.133696627864334,0.574,0.343756696904463,0.287418831168831,0.355042562460772,0.0491071428571429,0.0982142857142857,4225.5038541528,90.1427362627874,2.66532112719325e-20,15
"13","Q","3","fc.Q_rm.3",0.823248190045249,0.986,0.151198745841033,0.154920712531846,0.693167256401623,0.133922564398508,0.5965,0.0469787185861854,0.125895863395863,0.149484723725766,0,0,4285.69496364612,150.333845756109,2.26681556235153e-33,11
"14","LQH","3","fc.LQH_rm.3",0.866813800904977,0.989,0.110890944951394,0.111438346617336,0.788753016683992,0.120482451546172,0.65225,0.277558852618083,0.315178571428571,0.324041955270471,0.0268668831168831,0.0424860747941482,4185.2936014774,49.9324835873949,1.43646473389798e-11,28
"15","H","3","fc.H_rm.3",0.869478054298643,0.98,0.0953867770029091,0.126946792378408,0.803121789664407,0.132574686477219,0.84375,0.0724171940909064,0.166558441558442,0.162886302339207,0.00892857142857143,0.0178571428571429,4173.8413681962,38.4802503061946,4.4067237685072e-09,25
