"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.831020135746606,0.932,0.123894703296063,0.109348101579785,0.750854804528931,0.118297998263345,0.6765,0.200249011649662,0.18514911014911,0.204696289856623,0.00892857142857143,0.010309826235529,4233.63527099897,62.2632696990468,2.9992228554409e-14,13
"2","LQ","1","fc.LQ_rm.1",0.84503371040724,0.966,0.135649374043378,0.115088709834401,0.761200220001383,0.133062875854829,0.59275,0.221320845531248,0.229788961038961,0.255767834084924,0.03125,0.0625,4204.55780132396,33.1858000240336,6.18160215631577e-08,21
"3","Q","1","fc.Q_rm.1",0.828527375565611,0.952,0.169588192123317,0.133237794077988,0.7036382377356,0.147263379249917,0.58275,0.242112060831343,0.143912337662338,0.159854026068493,0,0,4277.99504948885,106.623048188924,6.98884210230971e-24,14
"4","LQH","1","fc.LQH_rm.1",0.891175791855204,0.994,0.136794327605716,0.137890057925445,0.766533322957586,0.126307993317095,0.665,0.197156452257253,0.266642616642617,0.315117440606702,0.0314123376623377,0.0422189254381101,4171.37200129993,0,0.993815954934766,56
"5","H","1","fc.H_rm.1",0.89200520361991,0.992,0.126358736349428,0.141743617037886,0.771729653405668,0.123224593965086,0.6665,0.0772377282593595,0.257714045214045,0.318594141410101,0.0586038961038961,0.0681671289062104,4185.37505653633,14.0030552364051,0.000904859510191079,60
"6","L","2","fc.L_rm.2",0.829452262443439,0.95,0.120214404212318,0.106658098112,0.748505574418479,0.111138685872892,0.6215,0.1981758478389,0.162421837421837,0.169533371295051,0.00446428571428571,0.00892857142857143,4241.21430520788,69.8423039079498,6.78019788740676e-16,10
"7","LQ","2","fc.LQ_rm.2",0.837668552036199,0.959,0.136022173631526,0.115308907263468,0.756327512803453,0.131369000278839,0.617,0.24645621653078,0.189366883116883,0.212188572936017,0.03125,0.0625,4225.01578758755,53.6437862876246,2.23205955530174e-12,16
"8","Q","2","fc.Q_rm.2",0.824996606334842,0.977,0.17150464546447,0.120248295733291,0.696448524956084,0.139531704443684,0.64825,0.212107480616157,0.108035714285714,0.114819253108326,0,0,4285.91139926459,114.539397964665,1.33472475831444e-25,11
"9","LQH","2","fc.LQH_rm.2",0.864178959276018,0.982,0.122194967919352,0.103953171194323,0.781242184244809,0.121770926291009,0.6825,0.198317086169262,0.221103896103896,0.264587614880524,0.0179383116883117,0.0252543353814237,4184.64077103039,13.2687697304618,0.00130625879311671,30
"10","H","2","fc.H_rm.2",0.865301131221719,0.977,0.107371321041741,0.10219318721728,0.792387928185968,0.11255928705842,0.7295,0.124165212519449,0.203246753246753,0.254566436099667,0.0223214285714286,0.0446428571428571,4182.42609767267,11.0540963727399,0.003953114887026,31
"11","L","3","fc.L_rm.3",0.827191628959276,0.971,0.120180926842446,0.106904442511183,0.746512290855855,0.110835197700727,0.648,0.22877208454413,0.144240019240019,0.145566359147692,0,0,4255.37908190324,84.0070806033154,5.69377355926442e-19,10
"12","LQ","3","fc.LQ_rm.3",0.835025113122172,0.958,0.135132139998225,0.117292249772409,0.747552653521939,0.12719384524725,0.59575,0.188652016510117,0.180275974025974,0.199518270512185,0.03125,0.0625,4245.37742805663,74.0054267567002,8.45729985906141e-17,16
"13","Q","3","fc.Q_rm.3",0.822572624434389,0.984,0.161951439634095,0.119449939928957,0.699635469814282,0.131993193685004,0.6415,0.198201076350929,0.0991071428571429,0.104750066971875,0,0,4294.06148924544,122.689487945513,2.26789092712483e-27,10
"14","LQH","3","fc.LQH_rm.3",0.856255429864253,0.981,0.120176421143869,0.105001955610908,0.778016991163123,0.123776912094097,0.7155,0.190202523642564,0.171185064935065,0.197683529128659,0.0133928571428571,0.0267857142857143,4193.02905746097,21.657056161047,1.97031639997195e-05,20
"15","H","3","fc.H_rm.3",0.857471719457014,0.985,0.114222556766253,0.106169343765476,0.788012422426795,0.123913689717736,0.754,0.140984632732318,0.166964285714286,0.200199199268516,0.0178571428571429,0.0357142857142857,4205.11040602602,33.7384047260966,4.68926163158389e-08,28
