"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L","1","fc.L_rm.1",0.876623672566372,0.986,0.0963479107437603,0.0631541800801845,0.838725171105237,0.0926125682719473,0.481,0.216671794811107,0.197681704260652,0.188817879922764,0.0087719298245614,0.0101289520910461,4431.82064086575,93.7030831668944,3.01832173746595e-21,12
"LQ","1","fc.LQ_rm.1",0.89200685840708,0.949,0.092515517069946,0.0682488773223916,0.838961372490971,0.0834044670868847,0.581,0.117666194522188,0.171209273182957,0.177819339133475,0.0395520050125313,0.0677244462948076,4364.06150676089,25.9439490620352,1.56125755008236e-06,19
"LQH","1","fc.LQH_rm.1",0.902803761061947,0.984,0.117801085221372,0.0763920186306871,0.826599920667612,0.0959631891325887,0.71125,0.139332635564441,0.228853383458647,0.164401066039123,0.00885025062656642,0.0102201894600242,4365.16265887344,27.0451011745818,9.00248504278446e-07,52
"H","1","fc.H_rm.1",0.902964380530973,0.993,0.110462736357985,0.073539477212959,0.836321161883194,0.0968069809599773,0.7575,0.197532275843721,0.224389097744361,0.170862868528211,0.0043859649122807,0.0087719298245614,4339.57575560612,1.45819790726182,0.323957364722848,45
"L","2","fc.L_rm.2",0.873024557522124,0.962,0.0945055663061659,0.0586791616207661,0.830898881567855,0.0843161153736842,0.6885,0.0960607446705816,0.153822055137845,0.137343158306204,0,0,4441.0823451936,102.964787494743,2.94179218661637e-23,9
"LQ","2","fc.LQ_rm.2",0.883248008849558,0.973,0.0946121712584489,0.0675479129426558,0.841509339647732,0.089416554232279,0.588,0.188405590858304,0.180137844611529,0.168144480541218,0.0263941102756892,0.0303570997496877,4402.95635670188,64.8387990030224,5.591974723595e-15,11
"LQH","2","fc.LQH_rm.2",0.89388296460177,0.994,0.131313353218186,0.0453679400785796,0.812549062120237,0.100413824545141,0.519,0.344002906964462,0.189301378446115,0.130972459267864,0.0043859649122807,0.0087719298245614,4348.28907399752,10.1715162986684,0.00415350568519715,26
"H","2","fc.H_rm.2",0.894876769911504,0.976,0.112771413060424,0.0384146108197279,0.833686063566893,0.0869598454657944,0.67275,0.142939089591802,0.162907268170426,0.116330341843056,0.0043859649122807,0.0087719298245614,4338.11755769886,0,0.671632200767915,25
"L","3","fc.L_rm.3",0.871907300884956,0.951,0.149775078212767,0.0725578800030944,0.777219932222258,0.131326423533393,0.544,0.382184074323704,0.136199874686717,0.127358871937152,0,0,4446.14137484301,108.023817144158,2.34454007171917e-24,8
"LQ","3","fc.LQ_rm.3",0.88039314159292,0.984,0.0964731625893139,0.0671897724083556,0.840854515144337,0.093040968884471,0.68275,0.179122630247176,0.180137844611529,0.1669196922314,0.0175438596491228,0.0248107642521596,4417.75159018193,79.6340324830689,3.42626594972507e-18,10
"LQH","3","fc.LQH_rm.3",0.891382522123894,0.984,0.141336534967522,0.0519711733685067,0.803039075782121,0.113433730640259,0.635,0.264311684695676,0.175986842105263,0.133048732687671,0.0043859649122807,0.0087719298245614,4354.94272893644,16.8251712375823,0.00014913926451466,19
"H","3","fc.H_rm.3",0.891966150442478,0.977,0.111824057010642,0.0343347448543421,0.833556818740016,0.08727227227915,0.769,0.120357799913425,0.140899122807018,0.103953510214496,0.0043859649122807,0.0087719298245614,4355.63833040096,17.5207727021034,0.000105328053465329,19
