"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.926150127221288,0.978,0.0858903183194339,0.0686984002385894,0.881582370497927,0.0871619321758284,0.7775,0.0719699011161379,0.147837265577737,0.133641408323,0.0043859649122807,0.0087719298245614,4532.514727373,80.5763667532865,3.04149037592575e-18,13
"2","LQ","1","fc.LQ_rm.1",0.933080687381397,0.921,0.0902114805309364,0.0589238208355439,0.879108185476253,0.0818574635322807,0.75625,0.0831559779370471,0.174153055051422,0.161416533909885,0.0437840290381125,0.0648980125671807,4490.17688208374,38.238521464019,4.74933428742288e-09,15
"3","H","1","fc.H_rm.1",0.945150946888417,0.974,0.0932797999879703,0.0726393011375761,0.878971542490612,0.0869283840813547,0.7125,0.184162066307551,0.234951603145795,0.174036959390446,0.0131578947368421,0.0167969668027428,4460.41745414159,8.47909352187344,0.0137660837985871,45
"4","LQH","1","fc.LQH_rm.1",0.946324514962484,0.988,0.0968762494720673,0.0648542221021567,0.877470536664745,0.084014717659378,0.79025,0.0874885706821183,0.243723532970357,0.170291931076043,0.0263157894736842,0.0303868562731382,4451.93836061972,0,0.955041344538012,43
"5","L","2","fc.L_rm.2",0.92145585492502,0.96,0.130821919216957,0.0472618908733423,0.832646105161823,0.097857312501447,0.68775,0.233107092699185,0.0998941318814277,0.0947680684724567,0,0,4565.42268661199,113.484325992277,2.17377151000959e-25,13
"6","LQ","2","fc.LQ_rm.2",0.931196266548428,0.906,0.0983361427183723,0.057907866584599,0.872185973511044,0.0870039061277382,0.7495,0.0836401020244874,0.152450090744102,0.148953882726273,0.0219298245614035,0.043859649122807,4507.09041890203,55.1520582823177,1.00903187145304e-12,11
"7","H","2","fc.H_rm.2",0.938403438940901,0.955,0.0821377159693214,0.0502174262594192,0.890812835781576,0.0729705304301318,0.82075,0.0805703626238168,0.204476709013914,0.154638962420544,0.0087719298245614,0.0101289520910461,4458.78813041218,6.84976979246767,0.0310894873907232,22
"8","LQH","2","fc.LQH_rm.2",0.938301743267238,0.964,0.108271799700541,0.0384283053431773,0.866096051491023,0.0792589024027244,0.8085,0.108189648303338,0.217558983666062,0.167293482354462,0.0087719298245614,0.0101289520910461,4470.61851015075,18.6801495310301,8.388402127733e-05,27
"9","L","3","fc.L_rm.3",0.919527704952376,0.95,0.163800970277304,0.0895308974918908,0.799694370399405,0.138868989947649,0.68375,0.350662587111885,0.0911222020568663,0.0978445974158301,0,0,4575.44803385123,123.509673231518,1.44623011250139e-27,9
"10","LQ","3","fc.LQ_rm.3",0.929191844820538,0.926,0.102172289496463,0.0530757099508137,0.868414499502541,0.0864407076766269,0.8425,0.0250399680510979,0.143526920750151,0.136094528989801,0.0043859649122807,0.0087719298245614,4526.36785732443,74.429496704709,6.57449376915799e-17,10
"11","H","3","fc.H_rm.3",0.93596782755668,0.959,0.100711380053296,0.0277093252275641,0.883410828843709,0.0839662180344968,0.827333333333333,0.0713045113112301,0.173321234119782,0.169242277229838,0.00584795321637427,0.0101289520910461,4474.21711216202,22.2787515423033,1.38756310556157e-05,16
"12","LQH","3","fc.LQH_rm.3",0.936231219351466,0.957,0.137616342754415,0.0590652168489159,0.83607850476789,0.107213389295057,0.79475,0.135652435781055,0.143451300665457,0.115347873964736,0.0043859649122807,0.0087719298245614,4476.13448270776,24.1961220880394,5.31987000133676e-06,19
