"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.905905581913887,0.92,0.129137893984175,0.0849535137372474,0.822132675582041,0.114145506409473,0.76475,0.189142582901542,0.0516766502231619,0.0585726395412083,0.00555555555555556,0.0111111111111111,3594.43151019163,82.0020252632276,1.55111055021699e-18,11
"2","LQ","1","fc.LQ_rm.1",0.914827942813386,0.86,0.11566580108611,0.12801830835537,0.840835380145194,0.142869762048411,0.64575,0.282497640108137,0.126476979093258,0.149765066651211,0.0229974160206718,0.0328927475782317,3573.83307380317,61.4035888747576,4.60825371081617e-14,19
"3","H","1","fc.H_rm.1",0.935923817844196,0.956,0.109085389422794,0.129017757002107,0.851593645233059,0.137922840895173,0.72525,0.131727939329514,0.141202724923655,0.0967795703456503,0.0114957716701903,0.0132759273761007,3512.42948492841,0,0.993473506789293,37
"4","LQH","1","fc.LQH_rm.1",0.934661600253321,0.987,0.116258287139269,0.132107869069802,0.844958992464832,0.142887337277485,0.6445,0.202728882994012,0.15205543810195,0.0789679506358628,0.0116279069767442,0.0232558139534884,3522.91424156528,10.4847566368753,0.00525315619861515,40
"5","L","2","fc.L_rm.2",0.902887750349325,0.918,0.161332962057568,0.0789011820983587,0.788670695684802,0.129958469209589,0.71875,0.269345348329364,0.0455984261216819,0.0270002761481039,0.00555555555555556,0.0111111111111111,3604.12305259274,91.6935676643311,1.21941366873936e-20,10
"6","LQ","2","fc.LQ_rm.2",0.911329872102886,0.909,0.114408392425283,0.130261010344512,0.83981032075138,0.144138042531219,0.636,0.380035963210501,0.0691126380079868,0.082965183561727,0,0,3575.35503971444,62.9255547860344,2.15300819568606e-14,13
"7","H","2","fc.H_rm.2",0.928579448220571,0.898,0.100557787492923,0.104954507460159,0.858618260909643,0.117906863587762,0.7165,0.138490673572868,0.130866807610994,0.0929910948581839,0.00581395348837209,0.0116279069767442,3529.99926517582,17.5697802474169,0.000152029191289816,28
"8","LQH","2","fc.LQH_rm.2",0.926199304069884,0.918,0.111003974872455,0.115921777024799,0.848009698719793,0.130736173923724,0.78025,0.0843025306065403,0.102572233967583,0.0596379571087201,0.0116279069767442,0.0232558139534884,3526.00303555889,13.5735506304813,0.00112123648393021,24
"9","L","3","fc.L_rm.3",0.900807591199387,0.904,0.155810390722783,0.072603663840383,0.794199017597652,0.125158285762667,0.7085,0.268107565478236,0.0570941977918722,0.0402759380902276,0.0111111111111111,0.0128300059819917,3614.92907565036,102.499590721948,5.49101924984988e-23,10
"10","LQ","3","fc.LQ_rm.3",0.909345322207574,0.933,0.126437160649747,0.118747826582469,0.826867127766187,0.139191032586997,0.596,0.466871145677977,0.0574847310312427,0.0616295223064093,0,0,3579.34792232035,66.9184373919425,2.92416747152397e-15,11
"11","H","3","fc.H_rm.3",0.923025339961072,0.921,0.094502248963562,0.0857418600030267,0.862867922528063,0.102111433302976,0.768,0.131176725577876,0.0853887714352831,0.0481820823004357,0,0,3548.33816898987,35.9086840614659,1.58374267782933e-08,22
"12","LQH","3","fc.LQH_rm.3",0.919905320523448,0.919,0.107200473475415,0.108467873287535,0.850486969915848,0.124428728303963,0.799,0.0939432452778449,0.0800916138125441,0.0621174786173201,0.00581395348837209,0.0116279069767442,3545.83017731409,33.4006923856846,5.54993750436969e-08,20
