Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.26323E-11,0.000000001,0.000000025,1,0,0
1.75222E-11,0.000000003,0.000000035,0.999851412,0,0
2.53364E-11,0.00000001,0.00000005,0.999405646,0,0
8.70918E-11,0.000000026,0.000000172,0.998959881,0,0
1.79701E-10,0.000000108,0.000000356,0.998068351,0,0
2.47973E-10,0.000000258,0.000000491,0.997028232,0,0
7.7966E-10,0.000001055,0.000001543,0.994947994,0,0
1.73834E-9,0.00000262,0.00000344,0.993016345,0,0
4.06577E-9,0.000010176,0.000008045,0.989450223,0,0
6.2245E-9,0.000025267,0.000012316,0.985141159,0,0
1.01195E-8,0.00005063,0.000020023,0.98038633,0,0
1.53179E-8,0.000100941,0.000030308,0.974591382,0,0
2.88904E-8,0.00025183,0.000057163,0.96448737,0,0
4.28235E-8,0.000501618,0.000084729,0.954086181,0,0
7.15721E-8,0.001004028,0.000141606,0.940713224,0,0
1.3656E-7,0.00251052,0.000270169,0.91872214,0.00116144,0
2.13715E-7,0.005020505,0.000422779,0.896879643,0.00116144,0
3.49119E-7,0.010014835,0.000690546,0.870430906,0.00116144,0
7.4475E-7,0.025070384,0.001472516,0.828231798,0.00116144,0
1.1864E-6,0.050032363,0.002344721,0.790341753,0.00116144,0
2.0029E-6,0.10011226,0.003955204,0.743239227,0.00232288,0
3.51832E-6,0.200120066,0.006937352,0.688112927,0.00232288,0
5.0875E-6,0.300175937,0.010015914,0.653046062,0.00232288,0
6.46018E-6,0.400004836,0.012701112,0.627340267,0.003484321,0
7.99054E-6,0.500630151,0.015686177,0.606686478,0.004645761,0
9.14567E-6,0.600798149,0.017933371,0.589301634,0.005807201,0
1.05024E-5,0.700324496,0.020566156,0.574294205,0.005807201,0
1.11307E-5,0.750108114,0.021783057,0.567459138,0.008130081,0
1.14827E-5,0.800994136,0.022464156,0.56077266,0.011614402,0
1.22806E-5,0.900195684,0.024006135,0.548291233,0.011614402,0
1.34454E-5,1.000757762,0.026252988,0.536701337,0.011614402,0
1.44644E-5,1.101043568,0.028214365,0.526002972,0.011614402,0
1.53859E-5,1.20078491,0.029984553,0.516047548,0.011614402,0
1.62552E-5,1.300555095,0.031651576,0.506686478,0.011614402,0
1.71419E-5,1.400644015,0.033349207,0.497771174,0.011614402,0
1.79795E-5,1.500565697,0.034949878,0.489301634,0.012775842,0
2.0142E-5,1.751735696,0.039070389,0.469687964,0.012775842,0
2.20615E-5,2.000265932,0.042712963,0.452154532,0.013937282,0
2.36601E-5,2.251019056,0.045736132,0.435809807,0.015098722,0
2.59473E-5,2.501511863,0.050045024,0.420802377,0.017421603,0
2.8423E-5,2.750314552,0.054687103,0.407132244,0.018583043,0
3.091E-5,3.00264681,0.059327431,0.394502229,0.018583043,0
3.37669E-5,3.251572633,0.06462994,0.383060921,0.018583043,0
3.62094E-5,3.503358872,0.069139444,0.372362556,0.018583043,0
3.904E-5,3.751767074,0.07433855,0.362555721,0.018583043,0
4.09702E-5,4.002771357,0.077867042,0.353194651,0.019744483,0
4.33969E-5,4.251758494,0.082284077,0.344427935,0.019744483,0
4.61098E-5,4.503081795,0.087197118,0.336106984,0.026713124,0
4.87703E-5,4.750356394,0.091989732,0.328380386,0.027874564,0
5.1783E-5,5.000523323,0.09738635,0.320950966,0.032520325,0
5.57349E-5,5.252185684,0.104416658,0.313967311,0.033681765,0
5.95281E-5,5.505757928,0.111113335,0.307429421,0.033681765,0
6.39822E-5,5.752833327,0.11891272,0.301485884,0.033681765,0
6.83529E-5,6.004691603,0.126499671,0.295839525,0.033681765,0
7.28547E-5,6.250982456,0.134245721,0.29063893,0.033681765,0
7.76684E-5,6.50637854,0.142452571,0.285586924,0.034843206,0
8.17734E-5,6.753672927,0.14938979,0.280980684,0.034843206,0
8.73556E-5,7.008045608,0.158733266,0.276523031,0.034843206,0
9.24079E-5,7.251300833,0.167101336,0.272511144,0.034843206,0
9.62909E-5,7.505677279,0.173475997,0.268499257,0.034843206,0
1.00265E-4,7.759951496,0.179950256,0.264635958,0.038327526,0
1.06957E-4,8.009214743,0.190736462,0.261069837,0.038327526,0
1.11285E-4,8.260369123,0.197637173,0.257652303,0.040650407,0
1.16529E-4,8.509633832,0.205919695,0.254383358,0.041811847,0
1.23772E-4,8.751142599,0.217218517,0.25141159,0.041811847,0
1.27224E-4,9.002416016,0.222547432,0.248439822,0.044134727,0
1.32217E-4,9.26170105,0.230190778,0.245468053,0.047619048,0
1.38124E-4,9.505727405,0.239134502,0.242793462,0.048780488,0
1.44938E-4,9.760977329,0.249324957,0.240118871,0.048780488,0
1.51062E-4,10.012049729,0.258365471,0.237592868,0.048780488,0
1.55224E-4,10.256154495,0.264448951,0.235215453,0.049941928,0
1.58154E-4,10.50684717,0.268700187,0.232838039,0.052264808,0
1.62663E-4,10.764637179,0.275195566,0.230460624,0.055749129,0
1.66469E-4,11.228675437,0.280633976,0.22615156,0.055749129,0
1.67174E-4,11.262101787,0.281636662,0.226002972,0.073170732,0
1.71389E-4,11.550619372,0.287602113,0.22332838,0.073170732,0
1.75779E-4,11.759076082,0.293763318,0.221693908,0.080139373,0
1.7982E-4,12.007884818,0.299388499,0.21961367,0.080139373,0
1.84741E-4,12.318895382,0.306176912,0.217087667,0.087108014,0
1.86287E-4,12.504614099,0.308296302,0.215601783,0.091753775,0
1.90968E-4,12.768317229,0.314673768,0.213521545,0.092915215,0
1.97772E-4,13.002328103,0.323837541,0.211738484,0.092915215,0
