x,y,species cloglog values
1.0,1.0,1.0745365E-4
2.0,2.0,0.06331597
3.0,3.0,0.07373275
4.0,4.0,0.1631783
5.0,5.0,9.973718E-7
6.0,6.0,0.026712209
7.0,7.0,0.7321779
8.0,8.0,0.24496078
9.0,9.0,0.26293525
10.0,10.0,0.014944357
11.0,11.0,0.12807791
12.0,12.0,0.0070149307
13.0,13.0,4.8438963E-4
14.0,14.0,0.11236248
15.0,15.0,0.004191271
16.0,16.0,0.12795079
17.0,17.0,0.17628445
18.0,18.0,0.09800546
19.0,19.0,0.22409348
20.0,20.0,0.14683896
21.0,21.0,0.16632177
22.0,22.0,0.0014292343
23.0,23.0,0.0024286874
24.0,24.0,0.102502525
25.0,25.0,0.008115521
26.0,26.0,1.8072557E-6
27.0,27.0,1.195046E-4
28.0,28.0,0.28407457
29.0,29.0,0.17163049
30.0,30.0,0.16344194
31.0,31.0,9.3693764E-8
32.0,32.0,0.01719479
33.0,33.0,2.014224E-4
34.0,34.0,0.25269455
35.0,35.0,2.5784482E-6
36.0,36.0,0.16975518
37.0,37.0,0.053012896
38.0,38.0,0.035261773
39.0,39.0,3.8149155E-9
40.0,40.0,0.031805325
41.0,41.0,1.4513636E-4
42.0,42.0,0.04394579
43.0,43.0,9.652093E-8
44.0,44.0,2.7486403E-5
45.0,45.0,0.0021887976
46.0,46.0,0.47507474
47.0,47.0,1.3489545E-6
48.0,48.0,0.14872368
49.0,49.0,0.0012229485
50.0,50.0,0.033544946
51.0,51.0,1.5266776E-6
52.0,52.0,0.0025214646
53.0,53.0,0.2695282
54.0,54.0,0.047219638
55.0,55.0,3.549124E-5
56.0,56.0,0.051055886
57.0,57.0,9.814962E-6
58.0,58.0,0.10005296
59.0,59.0,1.8012746E-4
60.0,60.0,0.11390153
61.0,61.0,0.002810219
62.0,62.0,1.6027936E-4
63.0,63.0,4.5054453E-6
64.0,64.0,9.2308724E-4
65.0,65.0,0.31628683
66.0,66.0,0.34224713
67.0,67.0,0.016724046
68.0,68.0,0.15957008
69.0,69.0,3.5997398E-6
70.0,70.0,0.007691441
71.0,71.0,0.096590295
72.0,72.0,0.0074126977
73.0,73.0,0.08669244
74.0,74.0,0.014935489
75.0,75.0,7.608019E-5
76.0,76.0,2.1082528E-4
77.0,77.0,0.015689386
78.0,78.0,0.008251574
79.0,79.0,0.0022934477
80.0,80.0,0.017905647
81.0,81.0,0.048857793
82.0,82.0,0.042577796
83.0,83.0,0.01149373
84.0,84.0,0.07579364
85.0,85.0,1.3807527E-4
86.0,86.0,0.34278774
