Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.17235E-14,0.000000001,0.000000001,0.992747214,0,0
1.88641E-13,0.000000003,0.000000001,0.988607819,0,0
7.9145E-13,0.00000001,0.000000006,0.982310278,0,0
1.54172E-12,0.000000025,0.000000011,0.977604812,0,0
4.56897E-12,0.0000001,0.000000032,0.968264638,0,0
8.53933E-12,0.00000025,0.00000006,0.960021228,0,0
3.01301E-11,0.000001002,0.000000211,0.944914205,0,0
6.18726E-11,0.000002505,0.000000434,0.932779055,0,0
1.64932E-10,0.000010004,0.000001157,0.90893331,0,0
4.04493E-10,0.000025028,0.000002838,0.887422607,0,0
9.4759E-10,0.000050085,0.000006649,0.873376968,0,0
2.1257E-9,0.000100207,0.000014915,0.861277198,0,0
5.3622E-9,0.000250111,0.000037624,0.846630108,0,0
9.38688E-9,0.000500033,0.000065861,0.834671856,0,0
1.51646E-8,0.001000587,0.000106397,0.819954007,0,0
2.87096E-8,0.002500494,0.000201422,0.795365293,0,0
4.96965E-8,0.005001165,0.000348638,0.772333274,0.000244978,0
9.45711E-8,0.010007156,0.000663344,0.747178489,0.000489956,0
2.0089E-7,0.02501394,0.001408563,0.71017159,0.00122489,0
3.46084E-7,0.050015771,0.002425374,0.677445604,0.001959824,0
6.24378E-7,0.10000118,0.004371407,0.640297187,0.002694757,0
1.16724E-6,0.200067726,0.008156579,0.599681585,0.003919647,0
1.70281E-6,0.300150548,0.011876785,0.574809835,0.004164625,0
2.16327E-6,0.400007196,0.015064144,0.556483283,0.006614405,0
2.59735E-6,0.500045799,0.018059415,0.541553158,0.00832925,0
3.00688E-6,0.600136138,0.020876999,0.528887316,0.009309162,0
3.36955E-6,0.700323968,0.023365386,0.517707412,0.010534052,0
3.56549E-6,0.750250796,0.024707175,0.512612772,0.010534052,0
3.74707E-6,0.800316606,0.02594898,0.507765788,0.01077903,0
4.10042E-6,0.900361369,0.028360905,0.49874403,0.012493876,0
4.40385E-6,1.000305968,0.030427366,0.49042986,0.013228809,0
4.65655E-6,1.100408534,0.032144984,0.482611003,0.013228809,0
4.91901E-6,1.20043822,0.033925758,0.475216699,0.015433611,0
5.23294E-6,1.300090481,0.03605134,0.468282328,0.015923567,0
5.53786E-6,1.400345841,0.038111504,0.461701751,0.016168545,0
5.79518E-6,1.5002161,0.039846616,0.455474969,0.016168545,0
6.46114E-6,1.750242183,0.044322705,0.441040156,0.018128368,0
7.11492E-6,2.000472904,0.048696672,0.427985141,0.02278295,0
7.72022E-6,2.250156399,0.05272839,0.416062268,0.024007839,0
8.34975E-6,2.500708089,0.056903388,0.405023881,0.025232729,0
8.95698E-6,2.750656382,0.060913055,0.394799222,0.026457619,0
9.63732E-6,3.000715226,0.065385303,0.385282151,0.027927487,0
1.01648E-5,3.250377204,0.068838288,0.376366531,0.02988731,0
1.07693E-5,3.500681511,0.072778948,0.367910844,0.031357178,0
1.13594E-5,3.750756727,0.076610174,0.359915089,0.033072024,0
1.19865E-5,4.000969186,0.080664272,0.352343888,0.033561979,0
1.26004E-5,4.250504531,0.084615816,0.345161861,0.036011759,0
1.33499E-5,4.5005156,0.089417131,0.338333628,0.037236649,0
1.40061E-5,4.750852083,0.093600378,0.33185919,0.038461538,0
1.4638E-5,5.001059618,0.09761006,0.325667787,0.039686428,0
1.53599E-5,5.251421252,0.102169432,0.31975942,0.041401274,0
1.60549E-5,5.501201152,0.106537016,0.314134088,0.042136208,0
1.67645E-5,5.750667573,0.110974668,0.308756413,0.04311612,0
1.74621E-5,6.000459837,0.11531542,0.303591014,0.043606075,0
1.81084E-5,6.251509682,0.119318078,0.298602512,0.045810877,0
1.87752E-5,6.500243825,0.123429117,0.293826287,0.047280745,0
1.94935E-5,6.751215026,0.127835681,0.28919158,0.048015679,0
2.01165E-5,7.000652854,0.131639808,0.28473377,0.048260657,0
2.08705E-5,7.251049388,0.136221757,0.280417477,0.049975502,0
2.15177E-5,7.501066427,0.140135164,0.276242703,0.05144537,0
2.23698E-5,7.751071146,0.14526103,0.272209446,0.056834885,0
2.31005E-5,8.001515307,0.149632313,0.268317707,0.059284664,0
2.39224E-5,8.25139288,0.154521971,0.264567486,0.060509554,0
2.46035E-5,8.501354332,0.158552621,0.260923404,0.062469378,0
2.53379E-5,8.751166782,0.162877364,0.257385459,0.063939245,0
2.59637E-5,9.002400089,0.166545507,0.253918273,0.067858893,0
2.68044E-5,9.250527261,0.171447397,0.250592606,0.06932876,0
2.75677E-5,9.500819675,0.175873192,0.247337697,0.072268496,0
2.83106E-5,9.75209064,0.180157451,0.244153547,0.074473297,0
2.9052E-5,10.001668776,0.18441127,0.241075535,0.077658011,0
2.9896E-5,10.252672695,0.189227286,0.238068282,0.080352768,0
3.05693E-5,10.500781724,0.193048538,0.235167168,0.080842724,0
3.13379E-5,10.751294212,0.197388616,0.232301433,0.08255757,0
3.23928E-5,11.003031174,0.203307234,0.229506457,0.085987261,0
3.3074E-5,11.251752499,0.207105947,0.226817619,0.088437041,0
3.37889E-5,11.502738916,0.211073369,0.224164161,0.09088682,0
3.45395E-5,11.752106273,0.215217675,0.221581461,0.094316512,0
3.54867E-5,12.000935343,0.220416029,0.219069521,0.097746203,0
3.63591E-5,12.252445997,0.225173397,0.216592959,0.098726115,0
3.71431E-5,12.502392208,0.229423945,0.214187157,0.100195982,0
3.79081E-5,12.750194666,0.23354918,0.211852114,0.100930916,0
3.86215E-5,13.00262067,0.237376269,0.209517071,0.101910828,0
3.92231E-5,13.251707146,0.240588236,0.207252786,0.104850563,0
3.98856E-5,13.50096713,0.244110345,0.205023881,0.106320431,0
4.06041E-5,13.750290602,0.247911813,0.202830356,0.108525233,0
4.14775E-5,14.000401096,0.252506432,0.200672209,0.111709946,0
4.22765E-5,14.251874358,0.25668528,0.198549443,0.11244488,0
4.31475E-5,14.503783322,0.261214072,0.196462056,0.113424792,0
4.40167E-5,14.752212693,0.265706052,0.194445427,0.118079373,0
4.48735E-5,15.001249939,0.270107317,0.192464178,0.119794219,0
4.56678E-5,15.250474,0.27416389,0.190518309,0.121019108,0
4.6564E-5,15.504143465,0.278713829,0.188572439,0.122978932,0
4.72944E-5,15.753154543,0.282400702,0.186697329,0.123468888,0
4.79841E-5,16.000884432,0.285865348,0.184857598,0.123958844,0
4.86769E-5,16.252289621,0.289328107,0.183017867,0.126653601,0
4.95416E-5,16.502528671,0.293626979,0.181213515,0.132288094,0
5.04333E-5,16.752429091,0.298032626,0.179444543,0.135962763,0
5.1263E-5,17.001676033,0.302107578,0.17771095,0.138412543,0
5.20216E-5,17.254985747,0.305812376,0.175977357,0.140617344,0
5.2799E-5,17.501320248,0.309588842,0.174314523,0.143312102,0
5.35942E-5,17.751355478,0.31342987,0.172651689,0.14478197,0
5.43037E-5,18.004987252,0.316839428,0.170988855,0.146496815,0
5.50049E-5,18.250878742,0.320192429,0.16939678,0.147721705,0
5.59207E-5,18.500397748,0.324546577,0.167804705,0.149681529,0
5.66354E-5,18.75385994,0.327925383,0.16621263,0.154826066,0
5.74827E-5,19.005081506,0.331909297,0.164655935,0.158500735,0
5.83172E-5,19.253995127,0.335809507,0.163134619,0.158990691,0
5.89899E-5,19.500601569,0.338937397,0.161648682,0.161685448,0
5.98312E-5,19.750358211,0.342828184,0.160162745,0.165850073,0
6.08077E-5,20.003808167,0.347315248,0.158676809,0.166340029,0
6.16499E-5,20.254719951,0.351160937,0.157226252,0.170014699,0
6.23525E-5,20.502794065,0.354351632,0.155811074,0.171239588,0
6.34399E-5,20.754167133,0.359259034,0.154395896,0.172709456,0
6.41955E-5,21.003120434,0.362647221,0.153016098,0.173934346,0
6.49542E-5,21.255328602,0.366031221,0.151636299,0.176139147,0
6.57439E-5,21.503749105,0.369534172,0.15029188,0.178343949,0
6.66032E-5,21.755273896,0.37332412,0.148947462,0.180303773,0
6.74318E-5,22.003374904,0.376957001,0.147638422,0.182263596,0
6.81728E-5,22.254229984,0.38018789,0.146329383,0.183978442,0
6.89944E-5,22.501122567,0.383750556,0.145055723,0.184713376,0
6.94986E-5,22.750375599,0.385927161,0.143782063,0.186918177,0
7.0038E-5,23.001524577,0.388246902,0.142508403,0.189612935,0
7.07866E-5,23.254934035,0.391451564,0.141234743,0.192062714,0
7.13624E-5,23.503795239,0.393905412,0.139996462,0.194022538,0
7.19464E-5,23.754542389,0.39638382,0.138758181,0.195737384,0
7.24869E-5,24.000213399,0.398668808,0.13755528,0.196472317,0
7.31592E-5,24.255180036,0.401498402,0.136317,0.198677119,0
7.37262E-5,24.504909085,0.403874972,0.135114099,0.199657031,0
7.47416E-5,24.750123741,0.40810685,0.133946577,0.200146987,0
7.52566E-5,25.005135454,0.410241914,0.132743676,0.202596766,0
7.60263E-5,25.254811264,0.41341828,0.131576154,0.204066634,0
7.67196E-5,25.506804148,0.416264966,0.130408633,0.207251347,0
7.74867E-5,25.753459485,0.419398439,0.12927649,0.208476237,0
7.83543E-5,26.002945168,0.422922071,0.128144348,0.212395884,0
7.9071E-5,26.254624408,0.425816936,0.127012206,0.21288584,0
7.97516E-5,26.50080493,0.428552321,0.125915443,0.214600686,0
8.07705E-5,26.773999067,0.432623004,0.124712542,0.219255267,0
8.12363E-5,27.0008926,0.434474448,0.123721918,0.221215091,0
8.17597E-5,27.253502668,0.436547376,0.122625155,0.223174914,0
8.25785E-5,27.508157429,0.43977538,0.121528392,0.223909848,0
8.33926E-5,27.756903176,0.442966489,0.120467009,0.225134738,0
8.40277E-5,28.008119006,0.445442941,0.119405625,0.228564429,0
8.47648E-5,28.25284556,0.448303824,0.118379621,0.230524253,0
8.5267E-5,28.508023553,0.450244502,0.117318238,0.235423812,0
8.58691E-5,28.756241704,0.45256227,0.116292234,0.237383635,0
8.66694E-5,29.006524642,0.455627437,0.11526623,0.238608525,0
8.73998E-5,29.25047159,0.458410199,0.114275606,0.239833415,0
8.82496E-5,29.504999492,0.461629953,0.113249602,0.240813327,0
8.88488E-5,29.752992481,0.463888697,0.112258978,0.245712886,0
