X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.4821263790517033E-4,83.78147185596441,0.9569293547084781
2.0,2.0,train,4.4821263790517033E-4,83.78147185596441,0.9569293547084781
3.0,3.0,train,9.638146207161174E-5,32.00264036812734,0.49148822060580943
4.0,4.0,train,3.479268700118438E-4,74.51544647954371,0.9129481951080677
5.0,5.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
6.0,6.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
7.0,7.0,train,2.1163019599239978E-4,54.67164245772342,0.7734789171744204
8.0,8.0,train,1.7344540017251033E-4,49.93071560079769,0.7038801813595041
9.0,9.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
10.0,10.0,train,3.288842804308146E-4,72.5025594835082,0.9005040451716018
11.0,11.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
12.0,12.0,train,2.727867339610864E-4,64.09187590660164,0.8525146084089311
13.0,13.0,train,5.301346459130821E-4,92.28872543283754,0.975759361595495
14.0,14.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
15.0,15.0,train,2.980562790541673E-5,10.225796214065593,0.1887128010484207
16.0,16.0,train,3.632210998687084E-4,77.44021241578967,0.9218061949320603
17.0,17.0,train,2.7828497334330977E-4,65.95142127766668,0.8580960570228047
18.0,18.0,train,7.675263988326874E-5,25.517427878337756,0.4164002966028445
19.0,19.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
20.0,20.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
21.0,21.0,train,4.630493329712878E-4,87.2160941561678,0.9611876292409591
22.0,22.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
23.0,23.0,train,4.4821263790517033E-4,83.78147185596441,0.9569293547084781
24.0,24.0,train,2.231215617194289E-5,7.734158542977465,0.14491527249729852
25.0,25.0,train,2.2959275377967145E-5,7.953111198641494,0.14878903029800383
26.0,26.0,train,4.2772970529204295E-5,14.39546262053546,0.2592702090060428
27.0,27.0,train,1.2292477188501603E-4,39.76937351744223,0.5778986324869492
28.0,28.0,train,2.727867339610864E-4,64.09187590660164,0.8525146084089311
29.0,29.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
30.0,30.0,train,5.301346459130821E-4,92.28872543283754,0.975759361595495
31.0,31.0,train,5.301346459130821E-4,92.28872543283754,0.975759361595495
32.0,32.0,train,1.5679378921382858E-4,47.17952040633514,0.6671801695133406
33.0,33.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
34.0,34.0,train,4.037539486769799E-4,79.7478854811347,0.941161934804273
35.0,35.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
36.0,36.0,train,1.3926924292149647E-4,44.03544174654488,0.6236334892376896
37.0,37.0,train,1.7344540017251033E-4,49.93071560079769,0.7038801813595041
38.0,38.0,train,4.037539486769799E-4,79.7478854811347,0.941161934804273
39.0,39.0,train,1.5679378921382858E-4,47.17952040633514,0.6671801695133406
40.0,40.0,train,1.5679378921382858E-4,47.17952040633514,0.6671801695133406
41.0,41.0,train,2.7828497334330977E-4,65.95142127766668,0.8580960570228047
42.0,42.0,train,3.137649840935134E-4,71.25514264772845,0.8893687575813235
43.0,43.0,train,1.4892796586270127E-4,45.50350215010497,0.6482951380969534
44.0,44.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
45.0,45.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
46.0,46.0,train,3.421340172560099E-4,74.30419057708659,0.909337000130292
47.0,47.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
48.0,48.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
49.0,49.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
50.0,50.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
51.0,51.0,train,1.0621538430072077E-5,3.439498124131446,0.07181733325870421
52.0,52.0,train,1.5679378921382858E-4,47.17952040633514,0.6671801695133406
53.0,53.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
54.0,54.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
55.0,55.0,train,8.965260132588338E-5,30.03724058682903,0.4669038103030988
56.0,56.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
57.0,57.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
58.0,58.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
59.0,59.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
60.0,60.0,train,4.8128525872251257E-4,88.30948549974562,0.9658492191346352
61.0,61.0,train,1.90826639240592E-4,52.24500514332037,0.737878653158724
62.0,62.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
63.0,63.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
64.0,64.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
65.0,65.0,train,5.424892832560129E-4,92.5032429861742,0.9777722086580847
66.0,66.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
67.0,67.0,train,7.538233333100049E-5,25.04592091750727,0.4107620128616616
68.0,68.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
69.0,69.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
70.0,70.0,train,1.7169794433649995E-4,49.60954557657405,0.7002270650755106
71.0,71.0,train,2.975727196570773E-5,10.211415253906958,0.18843749056447034
72.0,72.0,train,4.118964339246767E-4,80.3656772426729,0.9444292642743143
73.0,73.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
74.0,74.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
75.0,75.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
76.0,76.0,train,4.118964339246767E-4,80.3656772426729,0.9444292642743143
77.0,77.0,train,1.7344540017251033E-4,49.93071560079769,0.7038801813595041
78.0,78.0,train,3.043952848625096E-4,69.24658685976156,0.8818511057992333
79.0,79.0,train,1.0270691472693206E-4,34.16103538040574,0.5135639598651742
80.0,80.0,train,3.736351652892564E-4,78.28070986987625,0.9273161330679337
81.0,81.0,train,5.978688261547332E-5,19.737201713743843,0.342623663095872
82.0,82.0,train,7.070195563547375E-5,23.226280972566993,0.39109008475143825
83.0,83.0,train,2.7828497334330977E-4,65.95142127766668,0.8580960570228047
84.0,84.0,train,1.3229394557528375E-4,42.312270602601465,0.6047549050053227
85.0,85.0,train,3.421340172560099E-4,74.30419057708659,0.909337000130292
86.0,86.0,train,2.950998153962554E-4,67.85502171073949,0.8738883128619642
87.0,87.0,train,3.421340172560099E-4,74.30419057708659,0.909337000130292
88.0,88.0,train,5.978688261547332E-5,19.737201713743843,0.342623663095872
89.0,89.0,train,9.153791999180269E-4,100.0,0.9983759279240798
90.0,90.0,train,8.000462465412397E-5,26.568647556384455,0.42956596136822234
91.0,91.0,train,2.341013865600983E-4,57.05195385986434,0.8065213002325883
92.0,92.0,train,4.6821549417370154E-4,87.44294698793861,0.9625693338760365
93.0,93.0,train,1.800241018337262E-6,0.3212797121019535,0.012552067410633083
94.0,94.0,train,3.12916205697406E-4,70.00325218469749,0.8887079263019977
95.0,95.0,train,1.593867904164112E-4,47.63473185582737,0.6731807291249468
96.0,96.0,train,1.5784600309462724E-4,47.38900981568946,0.6696283061096799
97.0,97.0,train,1.593867904164112E-4,47.63473185582737,0.6731807291249468
98.0,98.0,train,1.578094755414355E-4,47.381414882976095,0.6695436216564257
