x,y,species cloglog values
1.0,1.0,0.009034864
2.0,2.0,0.019928185
3.0,3.0,0.032752596
4.0,4.0,0.57973844
5.0,5.0,0.039594233
6.0,6.0,0.47630638
7.0,7.0,0.28256348
8.0,8.0,2.2043892E-4
9.0,9.0,0.047197595
10.0,10.0,0.0030865949
11.0,11.0,0.009534273
12.0,12.0,0.012864953
13.0,13.0,0.009860893
14.0,14.0,0.034750003
15.0,15.0,0.007331265
16.0,16.0,0.0061237575
17.0,17.0,0.035896923
18.0,18.0,0.0020014474
19.0,19.0,0.0017110513
20.0,20.0,0.076774485
21.0,21.0,0.07490074
22.0,22.0,7.000289E-4
23.0,23.0,0.005007662
24.0,24.0,1.3781217E-4
25.0,25.0,0.025698548
26.0,26.0,0.007138103
27.0,27.0,0.005319677
28.0,28.0,0.0015750855
29.0,29.0,7.959755E-4
30.0,30.0,0.052300103
31.0,31.0,0.14395635
32.0,32.0,0.07262624
33.0,33.0,5.555805E-4
34.0,34.0,1.7013615E-5
35.0,35.0,0.25267637
36.0,36.0,0.0027722649
37.0,37.0,0.3100881
38.0,38.0,0.030288037
39.0,39.0,0.017061435
40.0,40.0,0.101629645
41.0,41.0,0.060504064
42.0,42.0,0.11494941
43.0,43.0,0.035302304
44.0,44.0,0.053047672
45.0,45.0,0.4697713
46.0,46.0,0.08503164
47.0,47.0,0.12052018
48.0,48.0,0.020370679
49.0,49.0,0.029437138
50.0,50.0,7.3915515E-5
51.0,51.0,0.05530295
52.0,52.0,3.7767805E-4
53.0,53.0,0.050036296
54.0,54.0,0.40419957
55.0,55.0,0.027754996
56.0,56.0,0.08335715
57.0,57.0,1.2753485E-4
58.0,58.0,5.373216E-4
59.0,59.0,0.3588896
60.0,60.0,0.0024732312
61.0,61.0,7.040306E-5
62.0,62.0,0.566844
63.0,63.0,3.5359696E-4
64.0,64.0,0.035732374
65.0,65.0,0.9297096
66.0,66.0,0.0819357
67.0,67.0,0.01940342
68.0,68.0,0.5271853
69.0,69.0,1.2095378E-5
70.0,70.0,0.021440683
71.0,71.0,0.0033424606
72.0,72.0,0.35597193
73.0,73.0,0.09354903
74.0,74.0,1.0619784E-4
75.0,75.0,0.15033084
