Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.47127E-10,0.000000015,0.000000976,1,0,0
1.60925E-10,0.000000031,0.000001067,0.999955935,0,0
2.09362E-10,0.000000105,0.000001388,0.999779677,0,0
3.02156E-10,0.000000261,0.000002004,0.99951529,0,0
4.63867E-10,0.000001034,0.000003076,0.998634,0,0
6.86753E-10,0.000002516,0.000004554,0.997488323,0,0
1.53341E-9,0.000010094,0.000010168,0.994491936,0,0
2.41376E-9,0.000025056,0.000016005,0.991187098,0,0
3.25015E-9,0.000050153,0.000021551,0.987265356,0,0
4.4538E-9,0.000100276,0.000029532,0.98153697,0,0
6.56614E-9,0.000250311,0.000043538,0.969595488,0,0
9.06194E-9,0.000500525,0.000060086,0.955362651,0,0
1.37196E-8,0.001001057,0.000090968,0.935842073,0,0
2.65851E-8,0.002502144,0.000176265,0.9019124,0,0
4.69847E-8,0.00500106,0.000311499,0.871684146,0,0
7.57191E-8,0.010002275,0.000501954,0.835198731,0,0
1.92949E-7,0.025013264,0.001278592,0.780162157,0.000316556,0
3.88623E-7,0.050025442,0.002573573,0.741341324,0.000316556,0
7.511E-7,0.100015898,0.004968033,0.700096942,0.000633112,0
1.43131E-6,0.200072025,0.009445844,0.658191592,0.000949668,0
1.98428E-6,0.300039976,0.013071262,0.63228166,0.001582779,0
2.43143E-6,0.400057066,0.015993135,0.612276373,0.002532447,0
2.78211E-6,0.500236438,0.01827855,0.595311536,0.003165559,0
3.1241E-6,0.600274744,0.020502253,0.580329603,0.003165559,0
3.44739E-6,0.700337961,0.022599726,0.566889927,0.004115226,0
3.61326E-6,0.750141362,0.023674196,0.560676831,0.004115226,0
3.78274E-6,0.800103372,0.024770749,0.554728122,0.004115226,0
4.10783E-6,0.900019401,0.026870713,0.543579801,0.005064894,0
4.41867E-6,1.000156419,0.028874353,0.533224641,0.005698006,0
4.70931E-6,1.100432322,0.030744103,0.523530449,0.006014562,0
4.99246E-6,1.200306814,0.032562225,0.514453159,0.006331117,0
5.35645E-6,1.300454934,0.03489432,0.505904644,0.006964229,0
5.63963E-6,1.400452438,0.03670481,0.497884903,0.007280785,0
5.91784E-6,1.500275512,0.038480246,0.490261743,0.008547009,0
6.68296E-6,1.750073111,0.04334606,0.472768133,0.011396011,0
7.39908E-6,2.000560198,0.047877936,0.457037102,0.013295347,0
8.15018E-6,2.250593791,0.052608067,0.44284833,0.015194682,0
8.79847E-6,2.500366587,0.056671928,0.429849299,0.016460905,0
9.50903E-6,2.750070193,0.061106042,0.417819688,0.017727129,0
1.02151E-5,3.0004339,0.065491227,0.406627302,0.018993352,0
1.0845E-5,3.250893324,0.069386285,0.396139949,0.01994302,0
1.15464E-5,3.500545046,0.07370499,0.386313563,0.021842355,0
1.22479E-5,3.750162783,0.078003645,0.377060016,0.023108579,0
1.28959E-5,4.000034728,0.081956493,0.368291178,0.024691358,0
1.36093E-5,4.250185384,0.086288734,0.359962986,0.026907249,0
1.43646E-5,4.500645031,0.090853734,0.352075438,0.028173473,0
1.52527E-5,4.750608537,0.096191523,0.344628536,0.03070592,0
1.59977E-5,5.00026239,0.100645483,0.337578215,0.033238367,0
1.69106E-5,5.250691188,0.106073277,0.330880409,0.034188034,0
1.79045E-5,5.501231388,0.111945267,0.324535119,0.036720481,0
1.87702E-5,5.751737585,0.117028402,0.318498281,0.037037037,0
1.98328E-5,6.000561323,0.123227757,0.31281396,0.038619816,0
2.07707E-5,6.250470092,0.128663528,0.307394025,0.038936372,0
2.19745E-5,6.502083499,0.135590915,0.302194413,0.040202596,0
2.30927E-5,6.751909179,0.141976359,0.297303252,0.043368154,0
2.40833E-5,7.002151716,0.147594085,0.292632414,0.04368471,0
2.53307E-5,7.251961981,0.154615118,0.288181898,0.04526749,0
2.64517E-5,7.50092288,0.160875862,0.283951705,0.045584046,0
2.75796E-5,7.752338656,0.16712841,0.279853706,0.047166825,0
2.88941E-5,8.000653973,0.174356408,0.275976029,0.047483381,0
3.03359E-5,8.252313083,0.182212172,0.272230546,0.047799937,0
3.16007E-5,8.500314662,0.189041577,0.268705385,0.04906616,0
3.28136E-5,8.751343644,0.195537873,0.265268353,0.050965495,0
3.41243E-5,9.002458962,0.202499275,0.261963515,0.052548275,0
3.52352E-5,9.252132882,0.208352082,0.25879087,0.05444761,0
3.66112E-5,9.500147787,0.21554235,0.255750419,0.056663501,0
3.79702E-5,9.753722802,0.222579312,0.252754032,0.058562836,0
3.9348E-5,10.000888389,0.229649775,0.249933903,0.067742957,0
4.08368E-5,10.25404306,0.237217298,0.247157839,0.068692624,0
4.22188E-5,10.503386932,0.244175334,0.244513968,0.071541627,0
4.31331E-5,10.750649687,0.248743602,0.241958227,0.072491295,0
4.41323E-5,11.003725419,0.253704365,0.239402485,0.076289965,0
4.56995E-5,11.250759505,0.261419845,0.236978937,0.078505856,0
4.66536E-5,11.50010003,0.266077599,0.234599454,0.081987971,0
4.79486E-5,11.750938043,0.272352602,0.232264035,0.083887306,0
4.94576E-5,12.004605154,0.27959701,0.22997268,0.086103197,0
5.0585E-5,12.254804384,0.284962616,0.227769454,0.0889522,0
5.17352E-5,12.500075961,0.290395181,0.225654358,0.092117759,0
5.30448E-5,12.751773068,0.296530727,0.223539261,0.093700538,0
5.42644E-5,13.004409573,0.302196573,0.221468229,0.097182653,0
5.53842E-5,13.251053474,0.307358784,0.219485327,0.098448876,0
5.60974E-5,13.513318265,0.31062647,0.217414295,0.101930991,0
5.71798E-5,13.751208328,0.315556747,0.215563585,0.10889522,0
5.82973E-5,14.005410055,0.320609515,0.213624747,0.109528332,0
5.92739E-5,14.252142798,0.324994806,0.211774037,0.11269389,0
6.04351E-5,14.503515258,0.330172418,0.209923328,0.117442229,0
6.14921E-5,14.753428794,0.334850318,0.208116683,0.119025008,0
6.25064E-5,15.000789213,0.33930913,0.206354102,0.122823678,0
6.34073E-5,15.252401145,0.34324415,0.204591522,0.125039569,0
6.41171E-5,15.5010574,0.346328042,0.202873006,0.127572016,0
6.53145E-5,15.753411409,0.351497192,0.20115449,0.12883824,0
6.64598E-5,16.003588641,0.356403786,0.199480039,0.131054131,0
6.71786E-5,16.250745374,0.359463952,0.197805587,0.133903134,0
6.80678E-5,16.501176645,0.363229476,0.196219265,0.136119025,0
6.91114E-5,16.755346021,0.36762042,0.194588878,0.13801836,0
7.01903E-5,17.006269113,0.372128586,0.193002556,0.141183919,0
7.09031E-5,17.253289276,0.375089169,0.191460298,0.142766698,0
7.17734E-5,17.502911315,0.378684803,0.18991804,0.144032922,0
7.24483E-5,17.75521,0.381459408,0.188375782,0.149097816,0
7.29351E-5,18.002255856,0.383452771,0.186877589,0.150364039,0
7.37145E-5,18.251755662,0.386630533,0.185379395,0.152263374,0
7.4259E-5,18.503210439,0.388841461,0.183881202,0.154795821,0
7.51286E-5,18.756944014,0.392355285,0.182383009,0.158277936,0
7.5816E-5,19.005905506,0.395118423,0.18092888,0.162393162,0
7.67288E-5,19.257659122,0.39876876,0.179474751,0.164292498,0
7.74561E-5,19.504443678,0.401661121,0.178064687,0.167458056,0
7.84634E-5,19.753840398,0.405644323,0.176654622,0.169357392,0
7.92291E-5,20.006210927,0.408654272,0.175244558,0.17410573,0
7.96923E-5,20.252609917,0.410467789,0.173878558,0.177587844,0
8.03334E-5,20.500667229,0.412968578,0.172512558,0.181386515,0
8.10757E-5,20.751122041,0.415850926,0.171146559,0.184552073,0
8.17298E-5,21.003322201,0.418379014,0.169780559,0.184868629,0
8.24575E-5,21.257707848,0.421178529,0.168414559,0.188034188,0
8.35353E-5,21.506680456,0.425300411,0.167048559,0.188983856,0
8.45425E-5,21.750583876,0.42912611,0.165814753,0.191199747,0
8.55373E-5,22.005736482,0.432879065,0.164492817,0.194365305,0
8.65595E-5,22.255173488,0.436710359,0.163214947,0.195314973,0
8.74247E-5,22.507252405,0.439932489,0.161937076,0.195631529,0
8.82293E-5,22.762209952,0.44291276,0.160659205,0.19784742,0
8.9033E-5,23.001612835,0.445873588,0.159469463,0.198797088,0
8.96979E-5,23.251955527,0.448311268,0.158235657,0.201329535,0
9.04457E-5,23.504018691,0.451039927,0.157001851,0.203545426,0
9.13468E-5,23.758357274,0.454310405,0.155768044,0.204495093,0
9.25137E-5,24.00666295,0.458516466,0.154578303,0.204811649,0
9.2787E-5,24.256936575,0.459496836,0.153388561,0.211459323,0
9.35979E-5,24.508553594,0.462395185,0.152198819,0.212092434,0
9.43849E-5,24.753055742,0.465193152,0.151053142,0.214941437,0
9.53373E-5,25.009032425,0.468560116,0.1498634,0.215257993,0
9.63793E-5,25.258037743,0.472219456,0.148717723,0.217157328,0
9.72775E-5,25.500050801,0.475353469,0.14761611,0.220006331,0
9.78151E-5,25.753678352,0.477220219,0.146470433,0.222222222,0
9.88832E-5,26.009148921,0.480909805,0.145324755,0.224438113,0
9.99424E-5,26.257539049,0.484542717,0.144223143,0.228869896,0
