Predictor variable,Categorical,Sample average
bio1,false,210.50870528648306
bio10,false,300.4298828743273
bio11,false,125.1801202912314
bio12,false,211.29281418170308
bio13,false,39.122823678379234
bio14,false,2.1377018043684712
bio15,false,61.471351693573915
bio16,false,95.50269072491295
bio17,false,12.153846153846153
bio18,false,71.85913263691042
bio19,false,62.66635011079455
bio2,false,162.63659385881607
bio3,false,46.496359607470716
bio4,false,6918.831908831909
bio5,false,391.6261475150364
bio6,false,42.787907565685344
bio7,false,348.8382399493511
bio8,false,222.9389047166825
bio9,false,238.39379550490662
