X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.2239363382403214E-4,52.01852120473228,0.771142036277666
2.0,2.0,train,2.3093562831194914E-4,54.64833247593026,0.7837443921751426
3.0,3.0,train,3.3423837587676677E-4,76.52634467601897,0.890985769468875
4.0,4.0,train,9.512803851123314E-5,24.952789185001908,0.46782216383747544
5.0,5.0,train,9.256790145501134E-5,24.056297763852776,0.45871088861730247
6.0,6.0,train,4.024619310923011E-4,94.05992823863377,0.9306545984627492
7.0,7.0,train,1.1896509890079932E-4,31.786600696477315,0.5456270720048804
8.0,8.0,train,2.8782383389564447E-4,67.00105931359577,0.8516988167930588
9.0,9.0,train,2.3618395016316158E-4,55.942163733092734,0.7911407952781255
10.0,10.0,train,5.647632565695478E-5,13.596598612750636,0.3123565010598548
11.0,11.0,train,1.4052916952809756E-4,37.00955943440734,0.6061655409809446
12.0,12.0,train,2.8650894972278163E-4,66.51272269284583,0.8504001598435221
13.0,13.0,train,4.2729096391821525E-4,96.0639830936267,0.9411811245132905
14.0,14.0,train,3.4088768569525237E-4,79.58395947588744,0.8956878333314641
15.0,15.0,train,2.8828133267257497E-4,67.33111404512123,0.8521480208613011
16.0,16.0,train,8.930267087257702E-5,23.103147099092226,0.4468635494788078
17.0,17.0,train,2.0851398267392187E-5,6.267337317450693,0.12912951909665515
18.0,18.0,train,2.4272405492309576E-4,57.6460450614097,0.8000046612440166
19.0,19.0,train,1.232157364424806E-4,32.75876513786755,0.5582548880500962
20.0,20.0,train,7.070097307039093E-5,17.18324238051919,0.3742509843486965
21.0,21.0,train,5.996463570368864E-5,14.401670814746508,0.3280794173084356
22.0,22.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
23.0,23.0,train,3.380682661420287E-4,79.12321682301474,0.8937193656831469
24.0,24.0,train,2.6701045594596364E-4,62.61140916859498,0.8297521806855722
25.0,25.0,train,1.5408856727855554E-4,39.72134010479007,0.6400300177209488
26.0,26.0,train,3.606257089502664E-4,82.1978141767384,0.9084844788252858
27.0,27.0,train,2.8058800544567415E-4,65.7179375615172,0.844409935902052
28.0,28.0,train,2.3346039497215395E-4,55.06810210839351,0.7873346535687429
29.0,29.0,train,1.4267225993819734E-4,37.61247648643031,0.6117225332788301
30.0,30.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
31.0,31.0,train,6.392474977087037E-5,15.433673506475392,0.34549362752229396
32.0,32.0,train,3.466645879528913E-4,80.01426672229935,0.8996080157026258
33.0,33.0,train,4.144950789712406E-4,95.34944496465212,0.9359726641663012
34.0,34.0,train,7.969230979175198E-5,20.252613705668967,0.41046778949373197
35.0,35.0,train,4.024619310923011E-4,94.05992823863377,0.9306545984627492
36.0,36.0,train,2.1461398268521022E-4,50.35441519849829,0.7590264717300833
37.0,37.0,train,2.4974074376283244E-4,59.758053222956256,0.8090965867809659
38.0,38.0,train,3.5545238099116746E-4,80.87484487791349,0.9052907160298851
39.0,39.0,train,3.746513350565021E-4,86.82896289646173,0.9166117770445241
40.0,40.0,train,6.274600012723137E-5,15.06770701843915,0.340357905625881
41.0,41.0,train,3.3423837587676677E-4,76.52634467601897,0.890985769468875
42.0,42.0,train,3.2195841434729254E-4,73.30107585641558,0.8817377365746952
43.0,43.0,train,2.3954662565083942E-4,56.86518710185259,0.7957462601173388
44.0,44.0,train,6.697135517941572E-5,16.179485005626628,0.35858298919019005
45.0,45.0,train,3.043730780191008E-4,69.4161891130895,0.8671115502407376
46.0,46.0,train,2.6836542363727463E-4,63.09187997708889,0.831274930952739
47.0,47.0,train,1.14725981027774E-4,30.54351832145501,0.5326739726588631
48.0,48.0,train,2.3346039497215395E-4,55.06810210839351,0.7873346535687429
49.0,49.0,train,2.2081897944375273E-4,51.6693440425019,0.76873995202261
50.0,50.0,train,1.9413247296810816E-4,46.793080687782606,0.7239736218783075
51.0,51.0,train,1.0845909681841689E-4,28.62705073138425,0.5128452811297857
52.0,52.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
53.0,53.0,train,3.6199773457450975E-4,82.52851272393895,0.909313280542953
