Predictor variable,Categorical,Sample average
bio1,false,202.46936600958978
bio10,false,292.81672882258925
bio11,false,116.95977623867874
bio12,false,287.802610548748
bio13,false,50.549813532232285
bio14,false,3.887852956846031
bio15,false,59.618806606286626
bio16,false,125.0839104954715
bio17,false,18.39158231220032
bio18,false,100.7773042088439
bio19,false,79.83297815663292
bio2,false,163.76425146510388
bio3,false,46.972828982418754
bio4,false,6938.12200319659
bio5,false,381.06606286627596
bio6,false,34.13905167820991
bio7,false,346.92701118806605
bio8,false,250.6094832179009
bio9,false,230.30447522642515
