x,y,species cloglog values
1.0,1.0,0.54258233
2.0,2.0,0.035147328
3.0,3.0,0.019527508
4.0,4.0,0.17401731
5.0,5.0,0.14539577
6.0,6.0,0.041188598
7.0,7.0,0.020405786
8.0,8.0,0.0039407634
9.0,9.0,0.11167743
10.0,10.0,0.0768929
11.0,11.0,0.005488111
12.0,12.0,0.056986023
13.0,13.0,0.06462335
14.0,14.0,5.1916734E-4
15.0,15.0,0.05412677
16.0,16.0,0.14436996
17.0,17.0,0.42374414
18.0,18.0,0.07746311
19.0,19.0,0.3639248
20.0,20.0,0.004159863
21.0,21.0,0.01341453
22.0,22.0,0.048224006
23.0,23.0,0.059897974
24.0,24.0,0.7047421
25.0,25.0,0.012939909
26.0,26.0,0.22090788
27.0,27.0,0.18452936
28.0,28.0,0.07371045
29.0,29.0,0.016229898
30.0,30.0,0.07323307
31.0,31.0,2.8003167E-4
32.0,32.0,0.004565648
33.0,33.0,0.5435958
34.0,34.0,0.03998585
35.0,35.0,0.09822867
36.0,36.0,2.3299833E-4
37.0,37.0,0.15330547
38.0,38.0,3.1723914E-5
39.0,39.0,0.5402419
40.0,40.0,0.11226006
41.0,41.0,0.13168208
42.0,42.0,0.58111936
43.0,43.0,0.029365567
44.0,44.0,0.1815056
45.0,45.0,0.048597146
46.0,46.0,0.09066152
47.0,47.0,0.021140696
48.0,48.0,0.10846885
49.0,49.0,0.24313645
50.0,50.0,0.053839512
51.0,51.0,0.015423684
52.0,52.0,0.07270404
53.0,53.0,3.5264104E-4
54.0,54.0,0.068406194
55.0,55.0,0.5152707
56.0,56.0,0.2814715
57.0,57.0,0.049862664
58.0,58.0,0.11617149
59.0,59.0,2.9317469E-5
60.0,60.0,0.22632371
61.0,61.0,0.040913112
62.0,62.0,0.0922302
63.0,63.0,0.0022999605
64.0,64.0,3.1446176E-5
65.0,65.0,0.0016725769
66.0,66.0,4.9484315E-5
67.0,67.0,0.020648494
68.0,68.0,0.097877875
69.0,69.0,0.009161655
70.0,70.0,0.05250282
71.0,71.0,0.0060027107
72.0,72.0,4.1415502E-4
73.0,73.0,0.03269206
74.0,74.0,6.990417E-5
75.0,75.0,0.12911732
76.0,76.0,0.009745138
77.0,77.0,0.0012487166
78.0,78.0,0.03415057
79.0,79.0,0.47746882
80.0,80.0,0.10855446
81.0,81.0,9.343955E-5
82.0,82.0,0.08188155
83.0,83.0,9.98404E-5
84.0,84.0,0.3679783
85.0,85.0,0.021629525
86.0,86.0,0.028887345
87.0,87.0,1.00882426E-4
88.0,88.0,4.567862E-4
89.0,89.0,0.015784917
90.0,90.0,0.07865579
91.0,91.0,0.014671632
92.0,92.0,0.015237022
93.0,93.0,0.0057024425
94.0,94.0,2.1754178E-5
95.0,95.0,1.3297918E-4
96.0,96.0,0.06500616
97.0,97.0,0.13632624
98.0,98.0,0.10491727
99.0,99.0,0.6032355
100.0,100.0,0.3412322
101.0,101.0,0.2854263
102.0,102.0,0.28724968
103.0,103.0,0.623085
104.0,104.0,4.1639072E-5
105.0,105.0,0.15092698
106.0,106.0,0.6643045
107.0,107.0,0.06666005
108.0,108.0,0.11632391
109.0,109.0,0.32567948
110.0,110.0,0.022933727
111.0,111.0,0.09208459
112.0,112.0,0.57751524
113.0,113.0,0.011323151
114.0,114.0,0.0046649585
115.0,115.0,1.7187645E-4
116.0,116.0,0.015691467
117.0,117.0,0.06252798
118.0,118.0,0.031891655
119.0,119.0,5.703004E-4
120.0,120.0,0.07097231
121.0,121.0,0.10465795
122.0,122.0,3.9524843E-5
123.0,123.0,0.0640923
124.0,124.0,0.06443986
125.0,125.0,1.3972638E-4
126.0,126.0,0.11049314
127.0,127.0,0.10635059
128.0,128.0,0.07950059
129.0,129.0,0.12992087
130.0,130.0,6.474217E-4
131.0,131.0,5.7487696E-4
132.0,132.0,0.003919513
133.0,133.0,0.060854744
134.0,134.0,0.5810959
135.0,135.0,0.030987179
136.0,136.0,0.12516786
137.0,137.0,0.019165255
138.0,138.0,1.5281445E-4
139.0,139.0,0.3924547
140.0,140.0,0.12577541
141.0,141.0,6.297569E-5
142.0,142.0,0.6482344
143.0,143.0,0.0040593534
144.0,144.0,0.1091449
145.0,145.0,5.7243125E-4
146.0,146.0,0.035362568
147.0,147.0,0.0542056
148.0,148.0,4.3019414E-4
149.0,149.0,0.64726824
150.0,150.0,0.10973306
151.0,151.0,0.059391543
152.0,152.0,0.18206136
153.0,153.0,0.06587328
154.0,154.0,0.07402232
155.0,155.0,0.10449632
156.0,156.0,0.6709711
157.0,157.0,0.05691942
158.0,158.0,0.008568192
159.0,159.0,0.038767517
160.0,160.0,0.63061374
161.0,161.0,7.152211E-4
162.0,162.0,0.049964774
163.0,163.0,0.33593732
164.0,164.0,0.3766125
165.0,165.0,0.00328376
166.0,166.0,0.002056073
167.0,167.0,0.012032978
168.0,168.0,0.044180334
169.0,169.0,0.14978123
170.0,170.0,0.08729626
171.0,171.0,0.061428726
172.0,172.0,2.249383E-4
173.0,173.0,0.0403105
174.0,174.0,0.096708246
175.0,175.0,0.022802854
176.0,176.0,2.899459E-4
177.0,177.0,0.04800464
178.0,178.0,0.019501045
179.0,179.0,0.018234363
180.0,180.0,0.0017606565
181.0,181.0,0.10293079
182.0,182.0,0.113529846
183.0,183.0,1.932313E-4
184.0,184.0,0.04051617
185.0,185.0,0.10688614
186.0,186.0,0.0830772
187.0,187.0,1.4101007E-4
188.0,188.0,3.9787107E-4
189.0,189.0,0.030543238
190.0,190.0,0.26316038
191.0,191.0,0.13911912
192.0,192.0,0.20353103
193.0,193.0,5.805004E-4
194.0,194.0,0.020781336
195.0,195.0,0.51365393
196.0,196.0,0.69930285
197.0,197.0,3.3842187E-4
198.0,198.0,0.37937117
199.0,199.0,0.017282154
200.0,200.0,3.079763E-4
201.0,201.0,0.04292509
202.0,202.0,0.05506616
203.0,203.0,0.016060349
204.0,204.0,0.01520577
205.0,205.0,0.42795613
206.0,206.0,0.0790213
207.0,207.0,0.025731843
208.0,208.0,0.35977834
209.0,209.0,1.4445059E-4
210.0,210.0,0.6547963
211.0,211.0,0.20265418
212.0,212.0,2.7707822E-4
213.0,213.0,0.10773829
214.0,214.0,4.331304E-4
215.0,215.0,0.0063473606
216.0,216.0,0.0011966629
