Predictor variable,Categorical,Sample average
bio1,false,207.72357723577235
bio10,false,307.1103368176539
bio11,false,113.22415795586527
bio12,false,193.89430894308944
bio13,false,30.638792102206736
bio14,false,2.896631823461092
bio15,false,49.93960511033682
bio16,false,73.63763066202091
bio17,false,14.875725900116144
bio18,false,53.724738675958186
bio19,false,60.736353077816496
bio2,false,161.18002322880372
bio3,false,43.37282229965157
bio4,false,7637.053426248548
bio5,false,400.48199767711964
bio6,false,31.99767711962834
bio7,false,368.4843205574913
bio8,false,226.66898954703834
bio9,false,241.0185830429733
