"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.795702347024308,0.987,0.120809857589936,0.0996302985173561,0.672221143835516,0.089919217098788,0.7545,0.267603562507428,0.223782958016331,0.317125412883541,0.0129310344827586,0.0258620689655172,22586.1180599127,416.18255360796,2.7708909553602e-91,18
"2","LQ","1","fc.LQ_rm.1",0.809554065381391,0.984,0.125818737187593,0.139832854327296,0.681815363533203,0.126311266092687,0.74525,0.320906398606613,0.216044715497038,0.350876032858162,0.00340857531760436,0.00487724485491328,22416.5293980597,246.593891754925,1.85493823452837e-54,18
"3","Q","1","fc.Q_rm.1",0.799153394803018,0.978,0.142394491685611,0.103526129879538,0.654816733138605,0.0950294356654676,0.701,0.31721811633848,0.189597365134161,0.314686055556498,0.00344827586206897,0.00689655172413793,22557.2085253528,387.273019048025,5.25103728414533e-85,14
"4","LQH","1","fc.LQH_rm.1",0.838255322715842,0.999,0.207345353421373,0.0964272033750006,0.633397549574874,0.0874035490786552,0.652,0.416108960089382,0.311341209542251,0.437581838179227,0.0318568511796733,0.0615402596958709,22171.2079775805,1.27247127575538,0.346097973591081,70
"5","H","1","fc.H_rm.1",0.83927024308466,1,0.212595220787749,0.0975039343498577,0.62883539582538,0.0885083399721993,0.6695,0.389981623498681,0.303880412804021,0.44476373340828,0.0335809891107078,0.0649874987730319,22169.9355063048,0,0.653902026408919,75
"6","L","2","fc.L_rm.2",0.792617351215423,0.993,0.156209902074017,0.085686742463867,0.633850599795762,0.0830349242676382,0.521,0.527277915334978,0.103345336295629,0.116359035810065,0,0,22623.535667611,453.600161306229,2.07725187839945e-99,12
"7","LQ","2","fc.LQ_rm.2",0.801888851634535,0.979,0.133035679593967,0.121883927848299,0.666734164024124,0.108442852619452,0.7905,0.23978532065162,0.20812840887262,0.326205833922701,0.0284085753176044,0.054646174022356,22514.1365577413,344.201051436561,1.18359747806792e-75,12
"8","Q","2","fc.Q_rm.2",0.788969572506287,0.966,0.151347367413056,0.103560785722547,0.636952275416012,0.0938824703776436,0.69825,0.269315645046229,0.148083676673034,0.225143760062586,0,0,22666.2984989557,496.362992650884,1.07561863712695e-108,10
"9","LQH","2","fc.LQH_rm.2",0.82776462699078,0.995,0.17816021689615,0.115123093041767,0.652442257539206,0.110204039813329,0.74975,0.268266503064894,0.27707338481306,0.455441326130615,0.0240982304900181,0.0460296059327584,22254.4102330765,84.4747267716812,2.96523306745603e-19,44
"10","H","2","fc.H_rm.2",0.829081223805532,0.996,0.182821260596629,0.11660919874068,0.647976923668074,0.11277128452812,0.77625,0.231986170564828,0.272073108300411,0.45873413217916,0.0284085753176044,0.054646174022356,22281.7816858155,111.8461795107,3.37616288683568e-25,60
"11","L","3","fc.L_rm.3",0.791041324392288,0.991,0.15577886747175,0.0823547606879663,0.632781577851493,0.0811134074151975,0.5495,0.51450267249063,0.0948191591848493,0.105981197485488,0,0,22647.0857292765,477.150222971752,1.5982998012533e-104,10
"12","LQ","3","fc.LQ_rm.3",0.796750796311819,0.968,0.142895898699383,0.104946589038814,0.652289719340678,0.0941174826955062,0.8075,0.185512802792691,0.188781581750685,0.317666289747695,0.0137699606572553,0.0253521855252451,22595.7086259777,425.773119672962,2.29115502125237e-93,15
"13","Q","3","fc.Q_rm.3",0.78173922883487,0.962,0.166349758087695,0.100635041514648,0.613429298533821,0.094320633501298,0.5825,0.425451524853302,0.0767209776238873,0.0976947125787581,0,0,22737.7126252928,567.777118988015,3.34408894011429e-124,11
"14","LQH","3","fc.LQH_rm.3",0.822627074601844,0.994,0.167543371343657,0.119854242498245,0.6566426276368,0.113693281792915,0.78175,0.213871261899926,0.260058954783098,0.438846262720997,0.0172016787658802,0.032247679738837,22316.552251516,146.616745211173,9.50803963187708e-33,37
"15","H","3","fc.H_rm.3",0.823554987426655,0.996,0.177435708579304,0.122130564244844,0.647161703031508,0.117388083521308,0.81825,0.173544182654831,0.254251256277416,0.444957033943158,0.0197878856624319,0.0374149367182417,22331.5243383757,161.588832070902,5.33265675386141e-36,41
