"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.781745973154362,0.99,0.126010113906075,0.0723251380851248,0.654195430671617,0.0652839782410095,0.81175,0.174104135505163,0.186405917478902,0.293806038382095,0.00778546712802768,0.0155709342560554,22696.9796932349,458.233968479803,3.00264673070716e-100,10
"2","LQ","1","fc.LQ_rm.1",0.79674211409396,0.997,0.123501287767942,0.119755958434302,0.674190497034638,0.108910472306629,0.598,0.43034249925689,0.238107596415242,0.434705889866031,0.0242214532871972,0.0484429065743945,22529.1275960385,290.381871283371,8.43575646549801e-64,19
"3","Q","1","fc.Q_rm.1",0.784309395973154,0.993,0.113764427575548,0.0940248644896398,0.671676192361749,0.0832737210306755,0.58075,0.583003930804359,0.239161806694549,0.447382953191449,0.00519031141868512,0.0103806228373702,22674.5557637573,435.810039002157,2.22227938056552e-95,11
"4","LQH","1","fc.LQH_rm.1",0.830556795302013,1,0.173793657177354,0.143415992615451,0.650695871797141,0.139807861298389,0.3765,0.273650324319194,0.51905959752322,0.264207274471986,0.0587381624476416,0.0784162876650489,22238.7457247551,0,0.958840136407176,72
"5","H","1","fc.H_rm.1",0.830507802013423,0.999,0.185044938407816,0.13841277257562,0.638891385117989,0.135179681861621,0.2885,0.246780266634105,0.570877344745948,0.332836617068709,0.074309096703697,0.100436914068782,22245.0422462869,6.29652153184725,0.0411598635909825,75
"6","L","2","fc.L_rm.2",0.780157634228188,0.984,0.117912658019004,0.0767390226780521,0.659045492427423,0.0677395435628538,0.73725,0.334795833307405,0.189483892855099,0.327466935665487,0.0112456747404844,0.0224913494809689,22716.2215143106,477.475789555498,1.99157140407924e-104,6
"7","LQ","2","fc.LQ_rm.2",0.790606375838926,0.991,0.109915386661824,0.116999305371198,0.680116454171406,0.10389514476688,0.651,0.459138323384141,0.231187181190329,0.420884639103746,0.0268166089965398,0.0536332179930796,22599.8756120442,361.129887289077,3.65921186128204e-79,16
"8","Q","2","fc.Q_rm.2",0.783297231543624,0.983,0.098961869976683,0.103014746633801,0.683224286940799,0.0906392113248751,0.56825,0.544017386364321,0.231238391090277,0.42288151819852,0.0242214532871972,0.0484429065743945,22700.3981042051,461.652379449981,5.43507734397444e-101,8
"9","LQH","2","fc.LQH_rm.2",0.819997315436242,0.996,0.150999598333763,0.116234010750169,0.670316168039857,0.109086618312632,0.7715,0.194938451825185,0.214087196931041,0.342908453992717,0.00860783554908031,0.0151025084029626,22314.579380942,75.8336561868928,3.27097325210191e-17,44
"10","H","2","fc.H_rm.2",0.82184177852349,0.998,0.164898187448696,0.118429384946449,0.658277577675294,0.112094926962642,0.67475,0.235301756616194,0.219207492554317,0.346183059917171,0.0146631988708796,0.0271776895833389,22292.7023611479,53.9566363927879,1.84166859044441e-12,41
"11","L","3","fc.L_rm.3",0.780267030201342,0.984,0.115913698300257,0.0802269411126334,0.660053536080248,0.0705536757103655,0.6975,0.406550939817714,0.189535102755047,0.329172716729485,0.0129757785467128,0.0259515570934256,22725.7865740314,487.040849276284,1.66789825356258e-106,6
"12","LQ","3","fc.LQ_rm.3",0.785297063758389,0.997,0.106128104104371,0.10568021886341,0.678358730453704,0.0922943027619774,0.6325,0.598492272297646,0.200927087362219,0.360178074558201,0.0181660899653979,0.0363321799307958,22656.2392196873,417.493494932227,2.1095298022735e-91,10
"13","Q","3","fc.Q_rm.3",0.782278775167785,0.983,0.103007116790463,0.0970997289237629,0.677211210372239,0.0852120300567291,0.63,0.446212206616239,0.201964574860639,0.373015299903012,0.0337370242214533,0.0674740484429066,22720.4369851696,481.6912604145,2.42001476384062e-105,7
"14","LQH","3","fc.LQH_rm.3",0.814865520134228,0.996,0.13485749323806,0.115833885485998,0.679940705149949,0.106503945588607,0.742,0.262778740895581,0.221171521333373,0.36801425267249,0.0233137179020215,0.0444615027900925,22368.997065475,130.251340719857,4.98915432116614e-29,35
"15","H","3","fc.H_rm.3",0.815574077181208,1,0.145310056418843,0.12507912137818,0.671905485606978,0.116537263744867,0.7115,0.286682751486726,0.22023645363485,0.359212201896475,0.0146631988708796,0.0271776895833389,22364.4501848597,125.704460104578,4.84584499316518e-28,33
