"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.857849833610649,0.995,0.0803863303826855,0.0601622275624098,0.81236590426877,0.0742872831749491,0.924,0.0746413647606562,0.180942112491581,0.227768423655818,0.00333141190831412,0.00466778544765914,23197.1906777231,561.270654261603,1.32316616186339e-122,11
"2","LQ","1","fc.LQ_rm.1",0.87339384359401,0.985,0.086710877101097,0.0730969641282729,0.813463902174018,0.0838884242910901,0.95225,0.017423642940939,0.218851233362041,0.306071525285886,0.0059566584325174,0.00984954706034652,22975.8695667122,339.94954325071,1.51664174719029e-74,16
"3","LQH","1","fc.LQH_rm.1",0.893772462562396,1,0.113438538694702,0.0572660363302742,0.797864659927787,0.0793612784514558,0.83025,0.129206230499926,0.325287379348357,0.403535048322524,0.0239361104873119,0.0457125650625282,22656.9785120675,21.0584886060096,2.67421109607693e-05,66
"4","H","1","fc.H_rm.1",0.894301331114809,0.999,0.110900199217914,0.054166859656135,0.80086740049228,0.0762494873189557,0.8335,0.163141043272378,0.317988535100225,0.416986881119635,0.0316415899393667,0.0611169338806168,22635.9200234615,0,0.999973257889039,61
"5","L","2","fc.L_rm.2",0.85422387687188,0.999,0.127900809980965,0.0684771311482931,0.757763773821201,0.11458515208137,0.82025,0.250149788460168,0.085207110909231,0.100979042122467,0.00247524752475248,0.00495049504950495,23273.8200533856,637.900029924112,3.03219330788813e-139,12
"6","LQ","2","fc.LQ_rm.2",0.865944841930116,0.99,0.0933187046643713,0.0538168430642776,0.79947584360617,0.0737118071593261,0.90725,0.105094798475789,0.140810536579585,0.156018673508631,0.000819672131147541,0.00163934426229508,23112.7511227586,476.831099297076,2.86702033705854e-104,14
"7","LQH","2","fc.LQH_rm.2",0.887982113144759,0.997,0.110219947548861,0.0539408642079193,0.798571739272179,0.0806106233976661,0.89825,0.0708725381700604,0.257454562170301,0.380179936618698,0.00510049404895576,0.00816285532027739,22746.7121534423,110.792129980771,8.74546772594607e-25,44
"8","H","2","fc.H_rm.2",0.888353494176373,0.998,0.110898685066446,0.0545756133308762,0.796708600862505,0.0802590527856447,0.91075,0.0727295217455287,0.237299806844187,0.366395013825478,0.0196552885695037,0.0371569440313445,22758.4563397126,122.536316251098,2.46357277242037e-27,49
"9","L","3","fc.L_rm.3",0.852074958402662,0.999,0.122434761310455,0.0613618013583585,0.760993918994864,0.106774972076457,0.796,0.305044259083825,0.0894771120728327,0.0987051423006679,0.00247524752475248,0.00495049504950495,23321.4032446342,685.48322117273,1.40993207191019e-149,8
"10","LQ","3","fc.LQ_rm.3",0.859060316139767,0.995,0.128300746954503,0.0572824782545058,0.758896382865759,0.105151221475085,0.80225,0.310980572812301,0.0886020382421435,0.0873832234049143,0.000819672131147541,0.00163934426229508,23240.2147065047,604.294683043216,6.01264054807382e-132,15
"11","LQH","3","fc.LQH_rm.3",0.885151747088186,0.997,0.106071768460307,0.0442507039055972,0.800174079483963,0.0744517208343319,0.936,0.0424106904761838,0.226096524116654,0.342365129355743,0.000819672131147541,0.00163934426229508,22808.3021349096,172.382111448042,3.69563009882581e-38,35
"12","H","3","fc.H_rm.3",0.884960232945092,0.996,0.107334029702455,0.0626320062959847,0.796174814001716,0.0990783217965378,0.947,0.0356791255498225,0.251829111410865,0.407753869021305,0.00794221124335654,0.0110392864875038,22824.081339565,188.161316103469,1.3844514809422e-41,35
