"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.816548305084746,0.994,0.165085296389519,0.176799257433301,0.659669068116425,0.170050918579621,0.48975,0.793735629791179,0.137840163697352,0.200681918047524,0.00078125,0.0015625,25226.0708213983,553.080894242223,7.94346041375935e-121,10
"2","LQ","1","fc.LQ_rm.1",0.824072033898305,0.982,0.167800819389751,0.160289198193671,0.665563217521369,0.157392219364478,0.46775,0.822986988556522,0.136191712794839,0.187184551867842,0.00078125,0.0015625,25131.997590364,459.007663207973,2.12692561739151e-100,17
"3","Q","1","fc.Q_rm.1",0.809708243451464,0.997,0.207730997140367,0.162051818992204,0.613719872300382,0.159006726637714,0.449,0.75833018314364,0.120530695411239,0.148064378572618,0.00078125,0.0015625,25345.7999269726,672.809999816607,7.96461520406065e-147,12
"4","LQH","1","fc.LQH_rm.1",0.85754499229584,0.998,0.155937034607583,0.164193667526045,0.706319489006369,0.165546888466608,0.6635,0.617907490379156,0.12560739275218,0.116935118847322,0.0015625,0.003125,24672.989927156,0,0.99999986952148,66
"5","H","1","fc.H_rm.1",0.858184360554699,0.998,0.154669518571909,0.155943127598932,0.707960207081969,0.157503225534552,0.6645,0.616793050112164,0.119371785886364,0.105890128241141,0.00234375,0.0046875,24704.694041345,31.7041141889677,1.3047851953943e-07,83
"6","L","2","fc.L_rm.2",0.807805161787365,0.99,0.158273557969372,0.169188256040546,0.660153263478635,0.159945607024498,0.5185,0.852799507504548,0.136975914992076,0.19707867250235,0.0015625,0.003125,25349.7663464969,676.776419340866,1.09614433153615e-147,10
"7","LQ","2","fc.LQ_rm.2",0.818018335901387,0.979,0.165679459770569,0.166169915189684,0.660713917102372,0.161673289177264,0.48575,0.840482549888257,0.129865468205925,0.169155816527355,0.0015625,0.003125,25233.4926328876,560.502705731524,1.94260207284676e-122,15
"8","Q","2","fc.Q_rm.2",0.804438520801233,0.996,0.204060217504862,0.182646116681868,0.611079024029172,0.177892721483021,0.467,0.722931532027757,0.120559958678476,0.159816079868141,0.00078125,0.0015625,25435.1897243234,762.199797167323,3.09326362505315e-166,12
"9","LQH","2","fc.LQH_rm.2",0.850243605546995,0.999,0.124603049563118,0.128533410141355,0.72855940845671,0.128898246938541,0.5975,0.735268431708221,0.11731676723477,0.12704589912647,0.00078125,0.0015625,24780.2092906864,107.219363530337,5.21928456615773e-24,40
"10","H","2","fc.H_rm.2",0.850736363636364,0.998,0.136141073858228,0.135224668503608,0.717690700866715,0.135155898091379,0.591,0.745451541013901,0.111903114573137,0.123877513429238,0.00234375,0.0046875,24800.1877510382,127.197823882158,2.39520909601144e-28,47
"11","L","3","fc.L_rm.3",0.805749229583975,0.992,0.161307107976239,0.165905834667775,0.652411217800266,0.154405243864927,0.512,0.844976133785249,0.143149814729598,0.203314889057328,0.0015625,0.003125,25387.7901218566,714.800194700605,6.06889791685776e-156,9
"12","LQ","3","fc.LQ_rm.3",0.812670184899846,0.984,0.165112903712628,0.168347252068296,0.657418028830274,0.162576339087996,0.513,0.836481918513485,0.127514462013975,0.162503287378005,0.0015625,0.003125,25314.5362420797,641.546314923689,4.89764965032883e-140,12
"13","Q","3","fc.Q_rm.3",0.79734468412943,0.979,0.197443011597932,0.186045627486376,0.612559661252793,0.180089515567834,0.45625,0.721533263266497,0.122060487974029,0.15685591548031,0,0,25531.9477006377,858.95777348171,3.0177922426206e-187,11
"14","LQH","3","fc.LQH_rm.3",0.84541656394453,1,0.123839841209632,0.13237071709597,0.72458016423407,0.132004021689041,0.5885,0.752208526052894,0.126804412033153,0.162909939503644,0.00078125,0.0015625,24872.3328680279,199.342940871888,5.16690325405282e-44,33
"15","H","3","fc.H_rm.3",0.845599768875193,0.999,0.124501629900629,0.105884471094522,0.724665285673226,0.10535033222037,0.591,0.738964590942399,0.136191474295404,0.183355745304525,0.00078125,0.0015625,24897.604280063,224.614352906963,1.68117503201054e-49,37
