"","predictor_value"
"hinge(bio11):0.241272762417793:12.2123754343816",6.26749308405119
"hinge(bio15):102.37584016761:140.095520019531",2.33114845439263
"hinge(bio18):7.17206048965454:21.703914564483",2.00626770228913
"hinge(bio9):10.2647705078125:24.4220262254987",0.966208206647622
"hinge(bio2):18.347015448979:20.1305046081543",0.951232419483225
"hinge(bio17):12.0896119098274:65.8212203979492",0.901701701963319
"hinge(northamerica_elevation_cec_2023):0.0367466621100903:58.5102274381385",0.85583284620303
"hinge(bio19):11.094352722168:105.975747867506",0.662126833758617
"hinge(bio19):53.2638616756517:527.670837402344",0.578698813828991
"hinge(bio15):131.713368941327:140.095520019531",0.536691832018064
"hinge(bio10):34.4459131785801:36.5549850463867",0.505688214355885
"hinge(bio3):33.5327186584473:44.7340344020299",0.381791616592436
"hinge(bio13):10.1644897460938:16.5458660514987",0.370354625057647
"hinge(bio10):34.8677275521415:36.5549850463867",0.354090149956132
"hinge(bio3):33.5327186584473:44.1444914681571",0.266778615600689
"hinge(bio6):12.8210219558404:14.5746574401855",0.226650616876496
"hinge(bio2):18.0922312833825:20.1305046081543",0.222616095405475
"hinge(bio17):0:4.02987063660914",0.204981595167974
"hinge(bio15):119.140142324019:140.095520019531",0.193753848856781
"hinge(bio15):100.280302398059:140.095520019531",0.139978934249874
"hinge(bio15):37.4141693115234:62.5606225461376",0.129235765236707
"hinge(bio18):7.17206048965454:36.2357686393115",0.114063791198743
"hinge(bio5):41.397051908532:46.3459701538086",0.113926746017303
"hinge(bio19):11.094352722168:21.6367299605389",0.0860594322892698
"hinge(bio19):11.094352722168:95.4333706291354",0.0781147994837042
"I(bio6^2)",0.0126003568286809
"hinge(bio15):133.808906710878:140.095520019531",0.000943597441265587
"I(bio9^2)",0.000255121964790043
"I(bio10^2)",0.000246738427760241
"I(bio4^2)",8.07020519049398e-06
"I(bio8^2)",-0.000216607287952138
"hinge(bio15):37.4141693115234:83.5160002416494",-0.00145367258399016
"bio15",-0.00222649206307064
"hinge(bio15):37.4141693115234:89.8026135503029",-0.0216971099656053
"hinge(bio15):37.4141693115234:85.6115380112006",-0.0218521913171502
"hinge(bio4):314.563293457031:525.153655383052",-0.0375597535001378
"hinge(bio15):37.4141693115234:91.8981513198541",-0.0417848409478548
"hinge(bio16):20.2928848266602:49.8188593338947",-0.141960403071977
"hinge(bio8):29.6591711132502:36.2781982421875",-0.198734450777425
"hinge(bio14):0:0.90380555756238",-0.198790763939119
"hinge(bio4):314.563293457031:538.315553003428",-0.313259724949728
"hinge(bio8):28.9237236544794:36.2781982421875",-0.656412068585209
"hinge(bio4):775.229710170201:959.496276855469",-1.00686027228689
"hinge(bio1):25.8949634493614:27.9903221130371",-1.07571937601216
"hinge(bio4):788.391607790577:959.496276855469",-1.83567196701655
"hinge(bio7):16.3873634338379:27.8295432110222",-2.30651674315157
"hinge(bio13):86.7410054109534:322.851928710938",-4.01097027382403
