"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.785828929121726,0.992,0.157684264671439,0.11466392385961,0.643977946440943,0.101054381452837,0.5005,0.662501069181527,0.211295952923661,0.341970803366901,0.0171875,0.034375,25608.6012343704,887.418872587765,1.93669128492007e-193,14
"2","LQ","1","fc.LQ_rm.1",0.801806895223421,0.998,0.174951694498176,0.0697475338338954,0.647888004037114,0.0619227576926142,0.3355,0.61661684483424,0.20963691080609,0.315852881824663,0.01015625,0.0203125,25467.1682968913,745.985935108591,9.97315460387677e-163,21
"3","Q","1","fc.Q_rm.1",0.787432550077042,0.999,0.20491710085498,0.148796331364262,0.602359182325165,0.137575950030919,0.41225,0.740215903188613,0.159843886099829,0.259256127525717,0.003125,0.00625,25598.5141152206,877.331753437906,3.00227514443058e-191,13
"4","LQH","1","fc.LQH_rm.1",0.859846956856703,0.991,0.131046797472551,0.0411489993048479,0.733309061459592,0.0409401212793769,0.86425,0.0734591723340251,0.136458201274645,0.117435696409747,0.00774807917390319,0.00825978614056225,24721.1823617827,0,0.971896793009262,86
"5","H","1","fc.H_rm.1",0.859447650231125,0.993,0.138512205133459,0.0451533689581957,0.725902462748087,0.0457882938560844,0.8385,0.0950596304081461,0.132521097710498,0.10705979828723,0.00851027429585441,0.00856678640021603,24728.269093625,7.08673184235886,0.0281032069907379,86
"6","L","2","fc.L_rm.2",0.772753659476117,0.999,0.157883314852455,0.116790355987551,0.639349515504214,0.112840597643426,0.593,0.647746864137527,0.152899710403234,0.269226930757805,0.0078125,0.015625,25708.2096257518,987.027263969125,4.54331694068135e-215,10
"7","LQ","2","fc.LQ_rm.2",0.785514214175655,0.999,0.141128432331782,0.0916422458120292,0.664530865029849,0.0800710453811041,0.56675,0.429166925566265,0.175550294508194,0.302606248178216,0.01796875,0.0359375,25600.3547685763,879.172406793594,1.19607301724728e-191,14
"8","Q","2","fc.Q_rm.2",0.778300885978428,0.995,0.204762454036572,0.141329987368445,0.60383304936497,0.150472973529764,0.507,0.712447892831469,0.114731105201617,0.211116727189175,0.003125,0.00625,25689.2632548801,968.080893097398,5.90915245706358e-211,11
"9","LQH","2","fc.LQH_rm.2",0.848504661016949,0.998,0.122201159429313,0.0307970641655024,0.730653258845023,0.0274181592699666,0.94825,0.0122576506721312,0.128221440547842,0.152031739214518,0.00388719512195122,0.00591900663958445,24856.6948306991,135.512468916411,3.643018773879e-30,48
"10","H","2","fc.H_rm.2",0.849204352850539,0.999,0.119129034473558,0.0228018053893805,0.733900005809536,0.0212754254579688,0.908,0.0784729252672538,0.135092706678631,0.149802041871188,0.00232469512195122,0.00298556152299276,24868.816467595,147.63410581234,8.49730880716569e-33,55
"11","L","3","fc.L_rm.3",0.766016987673344,0.998,0.14952248764937,0.110002294438441,0.64099666593496,0.105229926372023,0.64075,0.599002712848615,0.138025489664957,0.241423176743351,0.0015625,0.003125,25766.390626528,1045.20826474534,1.05567257619738e-227,9
"12","LQ","3","fc.LQ_rm.3",0.778334090909091,0.997,0.129219885997663,0.0845955048605426,0.68031688311098,0.0959677040947545,0.75975,0.26340004429258,0.154483859729368,0.276340974136074,0.009375,0.01875,25660.3821776104,939.199815827778,1.10400601554724e-204,10
"13","Q","3","fc.Q_rm.3",0.76814811248074,0.988,0.176402399267265,0.127560963527339,0.623972473993062,0.133475995926842,0.50725,0.736252843797564,0.115457640689121,0.208658662060981,0.0015625,0.003125,25781.1765863582,1059.99422457549,6.49828654498466e-231,10
"14","LQH","3","fc.LQH_rm.3",0.841841640986133,0.999,0.118167968236542,0.0248428612787481,0.727960010876517,0.025931420289499,0.90225,0.0645464948699773,0.168091765193994,0.236583747747483,0.00154344512195122,0.00178248853057738,24964.5359458974,243.353584114764,1.39335179964095e-53,38
"15","H","3","fc.H_rm.3",0.843118143297381,0.998,0.123285318588786,0.0395689132736417,0.723451165694047,0.042120491678852,0.83525,0.0956952628573292,0.174322829565663,0.249178777220227,0.00154344512195122,0.00178248853057738,24984.1767557056,262.994393922942,7.57030056936282e-58,49
