"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.776578158705701,0.997,0.164727692598395,0.108856825551175,0.639163181024935,0.104971825482269,0.56275,0.475431295422027,0.203273908258555,0.280952584627052,0.01015625,0.0203125,25674.4191286255,854.982533413739,2.17930430732585e-186,14
"2","LQ","1","fc.LQ_rm.1",0.792477388289676,0.999,0.150001285490656,0.0926015448348721,0.662727701159873,0.0774396925936883,0.6435,0.318065506879741,0.19727512609945,0.305026585949508,0.03359375,0.0671875,25561.3715714625,741.934976250726,7.69631813670833e-162,19
"3","Q","1","fc.Q_rm.1",0.777573998459168,0.99,0.212235848588104,0.159305035572282,0.583544532907245,0.140146818530463,0.30675,0.703868536494328,0.188086575467947,0.337510182857819,0.0015625,0.003125,25700.5483594793,881.111764267494,4.61771886907652e-192,12
"4","LQH","1","fc.LQH_rm.1",0.853358975346687,0.999,0.167579592638608,0.104479229064487,0.691642527852458,0.106224389813071,0.59475,0.467742361419902,0.15148810188742,0.167881869922567,0.00388448142414861,0.00465371822693914,24819.4365952118,0,0.989500618146948,79
"5","H","1","fc.H_rm.1",0.853626001540832,0.998,0.167717369815146,0.0921968128242877,0.692005348364996,0.0930996385339432,0.53175,0.515153294337391,0.156089650984907,0.167508209387596,0.00233649380804954,0.00298946758794767,24828.5283632227,9.09176801091235,0.0104993818530522,84
"6","L","2","fc.L_rm.2",0.767341718027735,0.999,0.183542718045401,0.131109019088562,0.614628352231354,0.128303987123325,0.4925,0.808957147608368,0.163580207417582,0.240505225113158,0.00234375,0.0046875,25744.3290719369,924.892476725072,1.43736336686408e-201,11
"7","LQ","2","fc.LQ_rm.2",0.778434630200308,1,0.172422035513588,0.0950527204836712,0.642931351150427,0.107818145737552,0.677,0.340643508671456,0.169213603030659,0.270657552843622,0.01484375,0.0296875,25664.3178784359,844.881283224127,3.40233040342922e-184,12
"8","Q","2","fc.Q_rm.2",0.76740874422188,0.988,0.204575177096849,0.14487439053843,0.593658720693571,0.14196091088381,0.39,0.746568594749784,0.138914076317452,0.255384912951973,0.00078125,0.0015625,25796.1171576904,976.680562478585,8.16444441338116e-213,12
"9","LQH","2","fc.LQH_rm.2",0.843168220338983,0.999,0.130835693719809,0.0576027723096565,0.717910209133284,0.056640916006242,0.75375,0.237615059848206,0.109495037920039,0.116133660634213,0.00234375,0.0046875,24943.6723566249,124.235761413132,1.04222923573202e-27,44
"10","H","2","fc.H_rm.2",0.843839252696456,0.996,0.132027399111478,0.0492542880281242,0.717683395138048,0.0468714914371195,0.84025,0.0953043370821426,0.125846071331955,0.138759879209448,0.00234375,0.0046875,24984.8001399859,165.36354477406,1.22230212890779e-36,61
"11","L","3","fc.L_rm.3",0.762822226502311,0.995,0.168492930375006,0.129896072458276,0.615832228997777,0.113078029639984,0.5375,0.790540954030846,0.146501550296839,0.235964817016221,0.00234375,0.0046875,25785.5001492715,966.063554059667,1.64960787752244e-210,9
"12","LQ","3","fc.LQ_rm.3",0.773142719568567,0.999,0.18486057824055,0.117662101209982,0.624013582417127,0.130489371155111,0.504,0.777913019987882,0.144940759843467,0.225011907012305,0.00311774380804954,0.00441944121007243,25714.4635079102,895.026912698406,4.39330545770601e-195,13
"13","Q","3","fc.Q_rm.3",0.764332318952234,0.991,0.189497625597829,0.141861130070034,0.59947613803931,0.133591135732121,0.429,0.777807174047656,0.130277410491054,0.234212026721608,0.00078125,0.0015625,25817.4404881877,998.003892975899,1.91260043911691e-217,9
"14","LQH","3","fc.LQH_rm.3",0.835902349768875,0.998,0.132407673581611,0.0614137295507853,0.708903992508035,0.0592797502921934,0.704,0.369019421349789,0.110491488377334,0.144623356337458,0.0015625,0.003125,25046.401360417,226.964765205244,5.13621875439213e-50,37
"15","H","3","fc.H_rm.3",0.838097958397535,0.998,0.137578610495744,0.0582479731679482,0.705537249866047,0.0571270560736341,0.66125,0.347092086724354,0.142362635258406,0.187888100385738,0.0015625,0.003125,25080.0016047403,260.565009528502,2.59682786225059e-57,49
