"","predictor_value"
"hinge(bio11):2.42933559417725:12.4814306959814",4.34782722851048
"hinge(bio18):9.33325004577637:35.0267315689398",1.77799105180838
"hinge(bio9):12.1088619232178:23.7540670511674",0.998125113430357
"hinge(bio15):102.150385408985:135.589599609375",0.933655857369854
"hinge(bio10):19.2055778503418:29.5407444700903",0.87302009908656
"hinge(bio15):100.183372808962:135.589599609375",0.766796258912011
"hinge(bio15):39.205982208252:45.1070200083207",0.744357280151276
"hinge(bio15):117.886486209169:135.589599609375",0.722872148458646
"hinge(northamerica_elevation_cec_2023):0.191778257489204:53.79531618527",0.638502259321043
"hinge(bio15):131.655574409329:135.589599609375",0.434070039553001
"hinge(bio12):54.4870910644531:91.8736391651387",0.390614732507035
"hinge(bio19):11.7343397140503:101.059126484151",0.266503199627282
"hinge(bio10):35.599290419598:36.6684455871582",0.252229901381973
"hinge(bio10):35.2429053637446:36.6684455871582",0.236899696947591
"hinge(bio17):0:3.55393841801857",0.236095918506305
"hinge(bio19):11.7343397140503:94.1879890402969",0.178998171526888
"hinge(bio15):39.205982208252:58.8761082084811",0.128241713073106
"hinge(bio15):129.688561809306:135.589599609375",0.0850139088807164
"hinge(bio10):19.2055778503418:29.1843594142369",0.0607561598531913
"hinge(bio6):12.8606024956217:14.5358648300171",0.046207096233518
"hinge(bio9):12.1088619232178:23.390154390919",0.0155377681057053
"bio17",0.0133433378309844
"I(bio6^2)",0.00771968720313509
"bio19",0.00173603176212493
"hinge(bio3):34.949104309082:44.4444344189702",0.000939572472150467
"bio12",0.000689161303240684
"I(bio4^2)",6.44137054716379e-06
"northamerica_elevation_cec_2023",-0.000459660955667641
"I(bio8^2)",-0.000738622914139775
"I(bio2^2)",-0.0010122440391288
"hinge(bio3):46.6786297389439:62.3179969787598",-0.0483279826825697
"hinge(bio7):17.0870819091797:28.6635180882045",-0.0625767602614157
"hinge(bio2):16.6275302925888:19.675968170166",-0.0682616012044209
"hinge(bio3):47.2371785689373:62.3179969787598",-0.161583991529464
"hinge(bio2):16.8620255139409:19.675968170166",-0.181766147159461
"hinge(bio16):26.8546104431152:53.4044103038554",-0.205674272288637
"hinge(bio13):96.7888432327582:294.157684326172",-0.333125395244983
"hinge(bio14):0:1.10375992132693",-0.396589610299661
"hinge(bio1):26.3507058279855:28.449556350708",-1.38838121249625
"hinge(bio4):787.682974679129:972.73291015625",-1.82372352832252
"hinge(bio7):17.0870819091797:28.1122592225367",-2.27384079287534
"hinge(bio13):90.983877318246:294.157684326172",-3.65811123720046
