"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.872788429118774,0.996,0.150877677700607,0.142220448685381,0.75219102755986,0.165333190465939,0.579,0.739027739668817,0.132111829000909,0.175294753005576,0.00464396284829721,0.00928792569659443,25595.4408912904,565.591299937783,1.52548378780548e-123,13
"2","LQ","1","fc.LQ_rm.1",0.878902835249042,0.999,0.159436252160958,0.13759672383765,0.748558634780066,0.159574984637375,0.5375,0.751779444606816,0.134419622869181,0.175981811722331,0.00154798761609907,0.00309597523219814,25476.0395437635,446.189952410918,1.29145946004991e-97,20
"3","LQH","1","fc.LQH_rm.1",0.900188199233717,0.999,0.158352154512312,0.184782389852579,0.75816450334178,0.19611517498511,0.6815,0.52665643449976,0.117788207657384,0.0812556344892911,0.000773993808049536,0.00154798761609907,25029.8495913526,0,0.999995128291217,58
"4","H","1","fc.H_rm.1",0.900427816091954,0.999,0.15631233392229,0.180177611132086,0.760584331311167,0.191361987909916,0.71525,0.468013087423845,0.114652362665307,0.0763286721301843,0.000773993808049536,0.00154798761609907,25054.313713215,24.4641218624201,4.87170878308155e-06,66
"5","L","2","fc.L_rm.2",0.865756475095785,0.998,0.141863604504488,0.135233297133048,0.756882292941475,0.156742026906463,0.572,0.750791582265012,0.128235130339701,0.182293483453109,0.00541795665634675,0.0108359133126935,25728.0393471733,698.189755820771,2.45481487970714e-152,12
"6","LQ","2","fc.LQ_rm.2",0.871181302681992,0.995,0.149972964832007,0.140068420533444,0.750936983753252,0.159757352739514,0.568,0.72993104697179,0.119735227631852,0.165758593635037,0.00232198142414861,0.00464396284829721,25632.217325678,602.367734325435,1.57581901679422e-131,17
"7","LQH","2","fc.LQH_rm.2",0.895393026819923,1,0.131915463013515,0.145772853456096,0.781162469639827,0.158135906486146,0.6155,0.727693387812935,0.102563428888972,0.096909539992067,0.000773993808049536,0.00154798761609907,25151.4482728406,121.598681487998,3.93712946312162e-27,41
"8","H","2","fc.H_rm.2",0.896087816091954,0.999,0.139134923139318,0.15967062458045,0.774496810300598,0.171948293142181,0.61775,0.709193614842473,0.101808413088744,0.0995594533393035,0.00154798761609907,0.00309597523219814,25162.2623044304,132.41271307788,1.76580430976058e-29,43
"9","L","3","fc.L_rm.3",0.860745440613027,0.998,0.137055234004599,0.133408453028392,0.756485954803641,0.153623562211599,0.59725,0.716219880111315,0.109607730738548,0.160954301071013,0.00464396284829721,0.00928792569659443,25818.1679390613,788.318347708777,6.58936686553824e-172,9
"10","LQ","3","fc.LQ_rm.3",0.866964061302682,0.995,0.147776919523561,0.141485641054423,0.747798625739422,0.161219617890094,0.60425,0.658559729004641,0.0995667284107403,0.126667447613035,0.00464396284829721,0.00928792569659443,25723.5134127005,693.663821347887,2.35946169206429e-151,13
"11","LQH","3","fc.LQH_rm.3",0.891091494252874,0.999,0.116203279255722,0.122660856531723,0.795056109175461,0.135189011652186,0.668,0.61273974899626,0.100324025555122,0.109740882158445,0.000773993808049536,0.00154798761609907,25256.761982301,226.912390948404,5.32841757460736e-50,31
"12","H","3","fc.H_rm.3",0.892391877394636,0.999,0.127100859673754,0.134214465153858,0.783743603697865,0.146978604609532,0.60975,0.700928134689998,0.127371575631977,0.154445630456558,0.00154798761609907,0.00309597523219814,25287.8146891834,257.965097830813,9.62916499698083e-57,44
