"layer","x","y"
"1",-115.354166666667,37.6041666666667
"0",-115.3125,37.6041666666667
"0",-115.270833333333,37.6041666666667
"0",-115.229166666667,37.6041666666667
"0",-115.1875,37.6041666666667
"0",-115.145833333333,37.6041666666667
"0",-115.104166666667,37.6041666666667
"0",-115.0625,37.6041666666667
"0",-115.020833333333,37.6041666666667
"0",-114.979166666667,37.6041666666667
"0",-114.9375,37.6041666666667
"0",-114.895833333333,37.6041666666667
"0",-114.854166666667,37.6041666666667
"0",-114.8125,37.6041666666667
"1",-114.770833333333,37.6041666666667
"0",-115.5625,37.5625
"0",-115.520833333333,37.5625
"0",-115.479166666667,37.5625
"1",-115.4375,37.5625
"1",-115.395833333333,37.5625
"1",-115.354166666667,37.5625
"0",-115.3125,37.5625
"0",-115.270833333333,37.5625
"0",-115.229166666667,37.5625
"0",-115.1875,37.5625
"0",-115.145833333333,37.5625
"1",-115.104166666667,37.5625
"1",-115.0625,37.5625
"1",-115.020833333333,37.5625
"0",-114.979166666667,37.5625
"0",-114.9375,37.5625
"0",-114.895833333333,37.5625
"0",-114.854166666667,37.5625
"1",-114.8125,37.5625
"1",-114.770833333333,37.5625
"1",-114.729166666667,37.5625
"1",-114.6875,37.5625
"1",-114.645833333333,37.5625
"1",-114.604166666667,37.5625
"1",-114.5625,37.5625
"0",-115.6875,37.5208333333333
"0",-115.645833333333,37.5208333333333
"0",-115.604166666667,37.5208333333333
"0",-115.5625,37.5208333333333
"0",-115.520833333333,37.5208333333333
"0",-115.479166666667,37.5208333333333
"1",-115.4375,37.5208333333333
"1",-115.395833333333,37.5208333333333
"1",-115.354166666667,37.5208333333333
"0",-115.3125,37.5208333333333
"0",-115.270833333333,37.5208333333333
"0",-115.229166666667,37.5208333333333
"0",-115.1875,37.5208333333333
"1",-115.145833333333,37.5208333333333
"1",-115.104166666667,37.5208333333333
"1",-115.0625,37.5208333333333
"1",-115.020833333333,37.5208333333333
"1",-114.979166666667,37.5208333333333
"0",-114.9375,37.5208333333333
"0",-114.895833333333,37.5208333333333
"0",-114.854166666667,37.5208333333333
"1",-114.8125,37.5208333333333
"1",-114.770833333333,37.5208333333333
"1",-114.729166666667,37.5208333333333
"1",-114.6875,37.5208333333333
"1",-114.645833333333,37.5208333333333
"1",-114.604166666667,37.5208333333333
"1",-114.5625,37.5208333333333
"1",-114.520833333333,37.5208333333333
"1",-114.479166666667,37.5208333333333
"1",-114.4375,37.5208333333333
