"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.778859183673469,0.989,0.15747391886656,0.0529920522538601,0.632007737863236,0.0401952561386214,0.652,0.262415700749784,0.252285813411255,0.321392706351497,0.064484126984127,0.128968253968254,19538.7481522498,554.355709486746,4.19939896231133e-121,14
"2","LQ","1","fc.LQ_rm.1",0.806645772594752,0.997,0.11709513572068,0.0845455426085014,0.6980758386594,0.0609555055991762,0.78325,0.191480851958275,0.318313659068479,0.371745756061835,0.0147637795275591,0.0295275590551181,19214.4054621889,230.013019425893,1.13059589980507e-50,20
"3","Q","1","fc.Q_rm.1",0.779498833819242,0.986,0.170259543297156,0.0805110742580703,0.616061515670334,0.0774698514326309,0.73,0.220712482655603,0.246997411961436,0.28301899070949,0.0109126984126984,0.0218253968253968,19630.4067987276,646.014355964606,5.24523492849834e-141,15
"4","LQH","1","fc.LQH_rm.1",0.839237512147716,0.991,0.141077381251223,0.0996771392742759,0.705799776631778,0.0786126623785923,0.79625,0.170791051678164,0.331846026649933,0.367101025259718,0.0535323709536308,0.0943985942526717,18984.392442763,0,0.999999901931072,69
"5","H","1","fc.H_rm.1",0.839188629737609,0.994,0.134461258316199,0.107019185125999,0.712515011103053,0.0859646992882958,0.78725,0.168365425983682,0.33054608138447,0.343428607253777,0.0307070991126109,0.0470042448267795,19016.6676330791,32.275190316097,9.80689282404818e-08,84
"6","L","2","fc.L_rm.2",0.775781146744412,0.989,0.158313166821248,0.0383616114483331,0.627509765828663,0.0225426198165494,0.65975,0.287859195904294,0.224718946769585,0.315241207705198,0.0654761904761905,0.130952380952381,19579.0252785433,594.63283578023,7.5356425290324e-130,11
"7","LQ","2","fc.LQ_rm.2",0.800691933916424,0.993,0.125695185597054,0.0814090618663939,0.68330085742649,0.0602088022737003,0.7875,0.205162537191044,0.307458604312392,0.360282554358746,0.0226612298462692,0.0378048074696508,19319.5208678054,335.128425042356,1.68961242669655e-73,16
"8","Q","2","fc.Q_rm.2",0.775134985422741,0.982,0.190600354907605,0.0567534247108978,0.587762298622297,0.0619428772945639,0.6765,0.273440426174819,0.203627833158786,0.236616674003402,0.0128968253968254,0.0257936507936508,19706.4743661254,722.081923362362,1.59185152648531e-157,13
"9","LQH","2","fc.LQH_rm.2",0.826264042759961,0.999,0.119454933203236,0.0920864427880455,0.715699005099191,0.0683393023978743,0.82675,0.242532987447069,0.303337890953286,0.343496113923924,0.0416666666666667,0.0833333333333333,19065.5062513306,81.1138085675593,2.43422222820791e-18,44
"10","H","2","fc.H_rm.2",0.826315937803693,0.999,0.109065603326907,0.0977184291750291,0.724474977866088,0.0751047218523023,0.86675,0.191776562697322,0.28061416891854,0.317862481000002,0.0128968253968254,0.0257936507936508,19077.8322423708,93.4397996077787,5.12631486383866e-21,50
"11","L","3","fc.L_rm.3",0.773830417881438,0.992,0.156971783192657,0.0305555198678968,0.626254345881127,0.0174787423054896,0.66925,0.296715773089332,0.201089088001931,0.316559565109916,0.060515873015873,0.121031746031746,19611.261932622,626.869489858949,7.5338990704721e-137,10
"12","LQ","3","fc.LQ_rm.3",0.79499426627794,0.98,0.127733551676331,0.0802083462056443,0.676887830894922,0.0629297915899796,0.83225,0.202261176040617,0.301545280977809,0.354978524726118,0.0276293588301462,0.0356720970210803,19409.0658896869,424.673446923858,6.0720124376238e-93,13
"13","Q","3","fc.Q_rm.3",0.766549271137026,0.981,0.194252667346738,0.0515349471465119,0.577818862478235,0.0612631069627196,0.56075,0.340232640997303,0.187871990139164,0.224103652727973,0.0158730158730159,0.0317460317460317,19800.6613868835,816.268944120489,5.61630736031392e-178,14
"14","LQH","3","fc.LQH_rm.3",0.817961807580175,0.999,0.109483373424565,0.0882819465659307,0.716430144369464,0.0623113249821491,0.77875,0.308114021102578,0.304337765968909,0.345422854029507,0.00297619047619048,0.00595238095238095,19124.3121156361,139.919672873068,4.13836734196806e-31,29
"15","H","3","fc.H_rm.3",0.817820894071914,0.993,0.0986633452097892,0.0900251172093224,0.726493256687365,0.0662809337392587,0.8245,0.279266300628391,0.273677535997655,0.308642333785642,0.00198412698412698,0.00396825396825397,19164.2481851488,179.855742385735,8.80687290711992e-40,44
