"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.768020155793574,0.943,0.176996805909476,0.0415442659839883,0.597607866982729,0.0243483676199165,0.66025,0.301321948531246,0.123663740308324,0.202181308328187,0.001,0.002,19549.3295962286,534.365468783566,8.98543958408203e-117,11
"2","LQ","1","fc.LQ_rm.1",0.797536903602726,0.999,0.145047583162734,0.121934452905737,0.658675962038906,0.106407994947198,0.839,0.0268452354556012,0.223314508100281,0.254711891862452,0.001,0.002,19262.42407162,247.459944174891,1.79590107740603e-54,19
"3","Q","1","fc.Q_rm.1",0.75816611489776,0.968,0.198642348493861,0.0874567896673412,0.570822221625315,0.0724973791993106,0.613,0.26604135016948,0.0581074607053429,0.103219607631339,0.001,0.002,19685.7922247066,670.828097261521,2.09438279443051e-146,15
"4","LQH","1","fc.LQH_rm.1",0.840930282375852,0.998,0.191259273907135,0.0993943882247392,0.654865232710929,0.084537904330164,0.77075,0.192545016381451,0.350886409533107,0.283646296013336,0.0648633662171539,0.111904208691978,19014.9641274451,0,0.976172422996922,92
"5","H","1","fc.H_rm.1",0.841271372930867,0.999,0.187998819156145,0.0989279297081047,0.658548022866297,0.083925320025478,0.7985,0.150258665862128,0.368349618873319,0.28318304383357,0.0698318701541618,0.116956860121024,19022.3897186975,7.42559125240587,0.0238275770030784,95
"6","L","2","fc.L_rm.2",0.763202434274586,0.93,0.16492690391265,0.0443859002201913,0.605659682479025,0.0294923588274913,0.65775,0.274533999108793,0.127889763779528,0.237762020236391,0.003,0.006,19588.8665761243,573.902448679255,2.33449650743636e-125,9
"7","LQ","2","fc.LQ_rm.2",0.792194449853943,0.99,0.142499051821535,0.119564414708335,0.654303216842698,0.104488388555554,0.85575,0.0379418414594407,0.195750354481552,0.235173753979039,0.001,0.002,19338.4867910496,323.522663604552,5.46352264629418e-71,16
"8","Q","2","fc.Q_rm.2",0.749255111976631,0.946,0.193513360811421,0.0992959539602645,0.568558578348218,0.0857732287607571,0.59225,0.324028162356299,0.0533121851147917,0.0752893873558606,0.001,0.002,19743.3877496678,728.423622222752,6.52148838250401e-159,12
"9","LQH","2","fc.LQH_rm.2",0.824786562804284,0.995,0.164167473321653,0.105892721518372,0.667831253747627,0.089985819693248,0.84375,0.0913249692033893,0.259925085733065,0.294226641368241,0.027,0.054,19142.7251734681,127.761046022999,1.7642815383141e-28,59
"10","H","2","fc.H_rm.2",0.823279357351509,0.999,0.17120976828641,0.110805252516685,0.660183945790469,0.0956684335247979,0.87025,0.0624092674742034,0.30434240856771,0.323083407706706,0.037,0.074,19146.7308623829,131.766734937813,2.38091336924927e-29,56
"11","L","3","fc.L_rm.3",0.759660272638754,0.937,0.162861385661653,0.0456410503762,0.604948426445149,0.0275376352856678,0.702,0.199961662992351,0.129905511811024,0.244316893344461,0.006,0.012,19618.5813046086,603.617177163509,8.23610590764008e-132,9
"12","LQ","3","fc.LQ_rm.3",0.785374488802337,0.97,0.146213883472024,0.115297589362797,0.645409646282298,0.100798572282607,0.868,0.0372558720203943,0.197002322985489,0.259271519377882,0.001,0.002,19423.6660851826,408.701957737503,1.74190329385208e-89,15
"13","Q","3","fc.Q_rm.3",0.743784128529698,0.941,0.188437653654523,0.0958139342790673,0.569756367037646,0.0834662613158795,0.585,0.34607609953111,0.0654015748031496,0.0770640011444203,0.001,0.002,19775.5992038547,760.63507640961,6.60265068233839e-166,11
"14","LQH","3","fc.LQH_rm.3",0.815170593962999,0.991,0.141416749019403,0.10249514185261,0.680166833809665,0.0875805105388362,0.8765,0.0790168758346384,0.233566476604218,0.28514010324477,0.021,0.042,19197.1217422807,182.157614835633,2.7195876149969e-40,39
"15","H","3","fc.H_rm.3",0.810983446932814,0.998,0.147102281850004,0.107810255452384,0.673068618949933,0.091511114755233,0.913,0.0463680924774785,0.277137171291335,0.327759992281015,0.026,0.052,19221.7349604377,206.770832992643,1.22973247182425e-45,39
