"","predictor_value"
"I(bio10^2)",0.00674891539701239
"I(bio1^2)",0.00600881512406213
"I(bio14^2)",0.000951069715653494
"I(bio12^2)",1.32767190867743e-05
"I(bio9^2)",7.08325156701108e-07
"I(northamerica_elevation_cec_2023^2)",-9.29317924841752e-07
"I(bio18^2)",-6.34869281675709e-06
"I(bio19^2)",-1.05836164435854e-05
"I(bio13^2)",-8.61812419483405e-05
"I(bio15^2)",-0.000110075688494769
"I(bio7^2)",-0.000190828123927814
"I(bio8^2)",-0.000641802078900148
"I(bio5^2)",-0.00509471792262184
"I(bio6^2)",-0.0173643598139362
