"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.780349756572541,0.993,0.141398989488071,0.0631193018375489,0.642160421765836,0.0413771266588711,0.82725,0.0646445408883586,0.123721633933689,0.207282428844592,0.002,0.004,19408.8409813726,394.631066365502,2.02746210140163e-86,12
"2","LQ","1","fc.LQ_rm.1",0.79550564751704,0.999,0.122556551918906,0.113320075404727,0.68217345185616,0.0959688013265202,0.7565,0.0763697147653003,0.253056988566084,0.285987185772105,0.002,0.004,19260.2992970962,246.089382089169,3.65064541105628e-54,17
"3","Q","1","fc.Q_rm.1",0.758828042843233,0.995,0.202995989115327,0.0910954781812494,0.565377841497247,0.076381178207433,0.5165,0.464055671947523,0.0679657284218783,0.120356334607688,0.001,0.002,19686.193853992,671.983938984904,1.2037649270308e-146,17
"4","LQH","1","fc.LQH_rm.1",0.838435443037975,0.999,0.17671166712619,0.110266403946773,0.668420539360086,0.0916604832175114,0.8455,0.13042111281026,0.28145683822952,0.298566589316131,0.0449578544061303,0.08738009893525,19014.2099150071,0,0.999999999815567,80
"5","H","1","fc.H_rm.1",0.837186368062317,0.999,0.176313041184229,0.107668863142764,0.667444878609696,0.0898321001305332,0.82575,0.146570517726679,0.292684671819287,0.324706828741707,0.0629578544061303,0.123374651685181,19059.0373809686,44.8274659615563,1.84433346931605e-10,94
"6","L","2","fc.L_rm.2",0.774874099318403,0.996,0.138054708373762,0.069023645041561,0.641065467082739,0.0472007543133577,0.81525,0.150049713983955,0.104847618185658,0.18916138535053,0.002,0.004,19476.715931769,462.506016761949,3.69908692156433e-101,11
"7","LQ","2","fc.LQ_rm.2",0.793051801363194,0.995,0.123649866802248,0.1012670607415,0.679585170813349,0.0911012733757278,0.83075,0.0386123900667476,0.226393248257761,0.262456841111619,0.001,0.002,19313.3814880436,299.171573036529,1.08572126462919e-65,14
"8","Q","2","fc.Q_rm.2",0.750458812074002,0.987,0.192488290675823,0.115876034640676,0.567029191363774,0.100315654283688,0.5625,0.45804839627853,0.0611862008628232,0.0904788179411059,0.001,0.002,19746.0328821176,731.822967110544,1.22084864868823e-159,12
"9","LQH","2","fc.LQH_rm.2",0.821633592989289,0.999,0.154117257805121,0.116737018267229,0.675065661795743,0.100167135320369,0.83,0.184229928802751,0.270699967321142,0.291032331418491,0.018,0.036,19156.9621562636,142.752241256505,1.00402533436105e-31,57
"10","H","2","fc.H_rm.2",0.819353164556962,0.992,0.15736502083277,0.112859645276281,0.669686164377758,0.0936985464990466,0.86725,0.117093623509851,0.289647624726035,0.317830501655766,0.0299578544061303,0.0573898585655976,19166.1682368557,151.958321848648,1.00616607676034e-33,55
"11","L","3","fc.L_rm.3",0.769023661148978,0.976,0.148063755320582,0.0636780499390609,0.625304647242717,0.0388803932990991,0.742,0.231564245944835,0.100937007874016,0.191519261226092,0.001,0.002,19539.7879818865,525.578066879465,7.4502847593929e-115,12
"12","LQ","3","fc.LQ_rm.3",0.789242843232717,0.984,0.136589733195215,0.10046575544141,0.664797906979256,0.0981223180501945,0.8655,0.0842555636145175,0.193766102513048,0.233007277648143,0.001,0.002,19379.9852172958,365.775302288712,3.74026436584573e-80,16
"13","Q","3","fc.Q_rm.3",0.742598149951314,0.971,0.195456927316507,0.118286368295343,0.559078684492627,0.104383416942593,0.50525,0.504282576207692,0.0593543307086614,0.0768977802358682,0.001,0.002,19795.7095990527,781.499684045641,1.99296561058818e-170,11
"14","LQH","3","fc.LQH_rm.3",0.811901557935735,0.997,0.135652660426907,0.104299204733375,0.683655155473689,0.0927542212004442,0.8745,0.128474381363238,0.228198720849549,0.255734357923405,0.008,0.016,19213.4038325694,199.193917562367,5.56660476353827e-44,37
"15","H","3","fc.H_rm.3",0.808997663096397,0.994,0.138066469270302,0.108490832875087,0.677045717011403,0.0902181242909024,0.895,0.102316502416114,0.253310852167433,0.299926401798908,0.01,0.02,19247.0632271192,232.853312112176,2.73240913319386e-51,44
