"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"1","L","1","fc.L_rm.1",0.852496283783784,0.995,0.143623032289072,0.0960558740550202,0.755188366291536,0.120678309338761,0.72425,0.370033669639219,0.222648802604046,0.278565783282035,0.0187335309617918,0.0349874047935461,20043.8222809303,619.99158026083,1.4591890563564e-135,12
"2","LQ","1","fc.LQ_rm.1",0.874049565637066,0.998,0.105465827216298,0.129601864336812,0.808321145969215,0.129182030336465,0.90425,0.134264353670908,0.290417441680229,0.336701386186616,0.0205858133767341,0.0289030410904499,19711.936600439,288.105899769558,1.70675582566405e-63,17
"3","LQH","1","fc.LQH_rm.1",0.896371283783784,1,0.12304071993149,0.118056676600206,0.803787154634367,0.124078265883642,0.8915,0.0937887697612743,0.297671084243974,0.309220948047705,0.0108283926218709,0.0192146817386282,19423.8307006694,0,0.621688209247926,66
"4","H","1","fc.H_rm.1",0.896623793436293,0.999,0.120471051914159,0.121288731469015,0.806353073017876,0.125692578724781,0.9015,0.130997455446025,0.294572967526932,0.297086512321183,0.00984025032938076,0.0172479270835776,19424.8241406632,0.993439993744687,0.378311790752073,68
"5","L","2","fc.L_rm.2",0.850229584942085,0.994,0.181562857268073,0.136535291184189,0.717931638863451,0.176190198287993,0.809,0.224652323973438,0.180476439587693,0.27179955169301,0.0197216732542819,0.0369612515145085,20092.9916394869,669.160938817473,3.06987727480713e-146,9
"6","LQ","2","fc.LQ_rm.2",0.867101013513514,0.999,0.108475156318002,0.122672187112217,0.805291069605119,0.12740333543167,0.89025,0.155100773692461,0.269712954351701,0.310343170994366,0.0127349259862048,0.0158315574522275,19858.9038150142,435.073114344807,2.08279361934669e-95,13
"7","LQH","2","fc.LQH_rm.2",0.888963175675676,0.998,0.122468203641531,0.107871513276273,0.802181683684877,0.117520891058272,0.868,0.202135268240519,0.272329593892893,0.294998817970523,0.00296442687747036,0.00592885375494071,19502.2713531017,78.4406524323022,5.75972006969036e-18,37
"8","H","2","fc.H_rm.2",0.889021573359073,0.999,0.112154030228447,0.121325597551714,0.811445955172281,0.124366701262613,0.8545,0.24427648269942,0.259481322173138,0.277795745861019,0.00197628458498024,0.00395256916996047,19502.9641994219,79.1334987524679,4.07334982774574e-18,37
"9","L","3","fc.L_rm.3",0.848354198841699,0.993,0.184181475930753,0.138736438166581,0.714184729207697,0.178781678947848,0.8165,0.188567406162005,0.167677090599086,0.259728467170437,0.016798418972332,0.033596837944664,20142.3174069769,718.486706307453,5.97264491189279e-157,9
"10","LQ","3","fc.LQ_rm.3",0.862985569498069,0.999,0.109699969417197,0.120476203791913,0.801527484604427,0.125954657352319,0.89825,0.120933521683058,0.254960571184996,0.294595576055267,0.00982475005812602,0.0123190546446698,19950.1088646948,526.278164025331,3.26378347773397e-115,10
"11","LQH","3","fc.LQH_rm.3",0.885201689189189,0.996,0.124839229185091,0.107198991398214,0.796902022349663,0.117254536993024,0.8595,0.212678944264197,0.264519879097884,0.28882714569796,0.00197628458498024,0.00395256916996047,19577.3146547089,153.48395403949,2.91712796558821e-34,29
"12","H","3","fc.H_rm.3",0.885222442084942,0.999,0.112101898389025,0.122257888671298,0.808338634335971,0.124672099728835,0.85175,0.246639243971163,0.24875852514919,0.271977097388762,0.00197628458498024,0.00395256916996047,19589.155534271,165.324833601589,7.82962844990915e-37,34
